Date,Visitor,Home,V_Score,H_Score,Predicted_Spread,Market_Spread,Spread_Edge,Predicted_Total,Market_Total,Total_Edge,Bet_Signals
2025-12-30,Vermont,Princeton,62.3,67.1,4.8,-3.5,1.3,129.8,137.5,7.7,TOTAL UNDER 137.5 (5.0%)
2025-12-30,Ohio,Central Michigan,75.0,81.6,6.6,5.5,12.1,154.9,149.5,5.4,TOTAL OVER 149.5 (5.0%); SPREAD Central Michigan +5.5 (5.0%)
2025-12-30,Southeastern Louisiana,Incarnate Word,72.7,73.3,0.6,-8.5,7.9,142.3,139.5,2.8,SPREAD Southeastern Louisiana +8.5 (0.0%)
2025-12-30,Wyoming,Air Force,63.7,62.4,-1.2,12.5,11.3,126.3,144.5,18.2,TOTAL UNDER 144.5 (5.0%); SPREAD Air Force +12.5 (0.0%)
2025-12-30,Howard,Northwestern,68.0,97.4,29.4,-20.5,8.9,149.2,145.5,3.7,TOTAL OVER 145.5 (5.0%); SPREAD Northwestern -20.5 (5.0%)
2025-12-30,Albany,South Carolina,64.8,79.3,14.5,-19.5,5.0,143.9,147.5,3.6,TOTAL UNDER 147.5 (5.0%); SPREAD Albany +19.5 (0.0%)
2025-12-30,East Tennessee St.,The Citadel,73.4,60.1,-13.3,12.5,0.8,133.3,145.5,12.2,TOTAL UNDER 145.5 (5.0%)
2025-12-30,Western Michigan,Toledo,80.1,83.8,3.7,-10.5,6.8,151.2,165.5,14.3,TOTAL UNDER 165.5 (5.0%); SPREAD Western Michigan +10.5 (0.0%)
2025-12-30,Duquesne,Davidson,74.1,67.7,-6.4,-3.5,9.9,141.0,152.5,11.5,TOTAL UNDER 152.5 (5.0%); SPREAD Duquesne +3.5 (5.0%)
2025-12-30,Florida State,North Carolina,77.9,82.8,4.9,-14.5,9.6,160.5,161.5,1.0,SPREAD Florida State +14.5 (0.0%)
2025-12-30,Milwaukee,Wisconsin,73.5,83.6,10.1,-21.5,11.4,152.8,156.5,3.7,TOTAL UNDER 156.5 (0.0%); SPREAD Milwaukee +21.5 (0.0%)
2025-12-30,Pittsburgh,Miami FL,85.3,74.8,-10.5,-10.5,21.0,146.6,146.5,0.1,SPREAD Pittsburgh +10.5 (5.0%)
2025-12-30,Seton Hall,Marquette,64.8,76.6,11.8,-2.5,9.3,141.9,141.5,0.4,SPREAD Marquette -2.5 (5.0%)
