Time,Visitor,Home,V_Score,H_Score,Model_Line,Model_Total,Win_Prob,Signals,Intelligence
N/A,Wright St.,Detroit Mercy,79.8,71.9,7.9,151.7,31.5,,
N/A,Rider,Fairfield,67.8,75.0,-7.2,142.8,67.0,,
N/A,IU Indy,Green Bay,78.6,86.5,-7.9,165.1,68.9,,
N/A,Niagara,Iona,66.2,77.5,-11.3,143.7,76.1,,
N/A,Canisius,Manhattan,71.9,73.9,-2.1,145.8,55.6,,
N/A,Saint Peter's,Mount St. Mary's,70.5,68.7,1.8,139.3,46.3,,
N/A,Cleveland St.,Oakland,82.1,97.1,-15.0,179.2,82.6,,
N/A,Marist,Sacred Heart,75.4,67.1,8.3,142.5,30.2,,
N/A,Merrimack,Siena,64.8,67.1,-2.2,131.9,56.1,,
N/A,Northern Kentucky,Milwaukee,81.4,77.8,3.6,159.2,41.6,,
N/A,USC,Minnesota,78.5,70.1,8.4,148.6,23.4,,H: BAYES: -6.0 vs Q1 | PhD_Loc: -0.9 Net
N/A,Akron,Bowling Green,87.1,80.9,6.1,168.0,29.6,,
N/A,Miami OH,Toledo,88.1,81.3,6.7,169.4,27.7,,
N/A,UNLV,Colorado St.,75.5,82.9,-7.5,158.4,74.7,,
