play_team,rim_rate,games,opp_rim_rate,avg_dist_allowed
Abilene Christian Wildcats,26.61290322580645,6,16.28222523744912,10.94064826991195
Air Force Falcons,23.563218390804597,8,12.650602409638553,10.96098340930623
Akron Zips,17.6039119804401,7,22.316384180790962,11.915178215890702
Alabama A&M Bulldogs,18.34862385321101,5,24.921630094043888,10.67622042594256
Alabama Crimson Tide,16.875,8,27.73780975219824,11.664254420117317
Alabama State Hornets,16.478190630048463,2,22.53968253968254,11.718824117582098
American University Eagles,18.613138686131386,8,23.732057416267942,10.739221481717326
App State Mountaineers,23.18840579710145,6,27.27272727272727,12.070269826942035
Arizona State Sun Devils,20.48417132216015,8,22.086466165413533,11.616644903597656
Arizona Wildcats,22.332506203473944,6,21.454112038140643,9.92659779906402
Arkansas Razorbacks,22.463768115942027,9,20.25796661608498,11.32067357864537
Arkansas State Red Wolves,19.739478957915832,4,24.775583482944345,10.691037492865417
Arkansas-Pine Bluff Golden Lions,22.521246458923514,2,24.705882352941178,11.393829237327319
Army Black Knights,18.970588235294116,6,16.892725030826142,13.388205466004205
Auburn Tigers,21.55963302752294,7,20.193340494092375,11.684705101624285
Austin Peay Governors,17.868675995694293,2,16.47509578544061,11.545791680615261
BYU Cougars,17.424242424242426,6,19.830713422007253,11.481758633033444
Ball State Cardinals,21.978021978021978,5,23.704866562009418,11.545047039415488
Baylor Bears,13.986013986013987,6,23.787528868360276,10.409150548199506
Bellarmine Knights,26.819126819126822,6,24.6031746031746,11.63673487631738
Belmont Bruins,20.19914651493599,6,27.142857142857142,12.11468202161351
Bethune-Cookman Wildcats,25.97402597402597,4,15.27001862197393,11.112184017306058
Binghamton Bearcats,18.640776699029125,7,21.336459554513482,10.225939944481665
Boise State Broncos,26.38888888888889,8,17.805582290664102,11.064156763733388
Boston College Eagles,28.859060402684566,8,20.01943634596696,11.600810120656302
Boston University Terriers,28.01047120418848,5,21.62162162162162,12.521315944360905
Bowling Green Falcons,19.444444444444446,7,22.281449893390192,10.726981343366361
Bradley Braves,17.88617886178862,9,18.617021276595743,11.272434910462993
Brown Bears,23.27698309492848,6,22.528160200250312,11.449241108456766
Bryant Bulldogs,17.94871794871795,4,21.70686456400742,11.494763976248816
Bucknell Bison,22.71689497716895,4,19.883040935672515,12.030449488095275
Buffalo Bulls,19.26163723916533,5,28.038897893030796,11.381004797886916
Butler Bulldogs,28.52173913043478,7,27.19626168224299,10.017830810625163
Cal Poly Mustangs,18.097447795823665,5,21.115537848605577,12.063223891271235
Cal State Bakersfield Roadrunners,24.63054187192118,5,22.206303724928368,10.568126404072071
Cal State Fullerton Titans,15.741789354473386,5,19.64038727524205,11.440111096700164
Cal State Northridge Matadors,22.441860465116278,4,29.443447037701976,11.298166216381016
California Baptist Lancers,21.37628111273792,5,19.418960244648318,10.296754312618996
California Golden Bears,32.82442748091603,9,11.570247933884298,11.95184683619035
Campbell Fighting Camels,28.31541218637993,3,30.699774266365687,9.979546466743665
Canisius Golden Griffins,18.979057591623036,5,15.306122448979592,12.341697453594774
Central Arkansas Bears,22.794117647058822,6,19.114219114219114,13.516932719329985
Central Connecticut Blue Devils,22.878625134264233,2,33.56643356643357,11.447881165511056
Central Michigan Chippewas,15.897435897435896,3,26.0,10.88075709059127
Charleston Cougars,21.44638403990025,8,21.687840290381125,11.494299168610505
Charleston Southern Buccaneers,21.91582002902758,6,17.382198952879584,12.61974430328434
Charlotte 49ers,22.309197651663403,6,11.050477489768076,11.41828262690371
Chattanooga Mocs,17.929292929292927,5,24.59016393442623,12.093303295864303
Chicago State Cougars,14.16871416871417,2,17.475728155339805,11.887206401732843
Cincinnati Bearcats,19.310344827586206,8,19.065077910174153,12.377049397740608
Clemson Tigers,23.72583479789104,7,17.94871794871795,11.372331354110695
Cleveland State Vikings,18.221574344023324,7,16.92466460268318,11.600686085406712
Coastal Carolina Chanticleers,20.517737296260783,3,19.014084507042252,12.060754131976507
Colgate Raiders,22.22222222222222,5,27.889060092449924,10.205179494481804
Colorado Buffaloes,20.3125,9,18.031496062992126,9.970215271660622
Colorado State Rams,20.25862068965517,8,17.357001972386588,12.48778356385075
Columbia Lions,19.35483870967742,6,28.536585365853657,10.785778072196003
Coppin State Eagles,19.642857142857142,3,8.933002481389577,12.68877324370817
Cornell Big Red,18.346774193548388,3,19.870410367170628,11.908292484234527
Creighton Bluejays,21.605839416058394,6,26.666666666666668,11.085246080395764
Dartmouth Big Green,21.45015105740181,5,22.14076246334311,12.11459886140611
Davidson Wildcats,14.71861471861472,7,19.27846674182638,10.76170386021147
Dayton Flyers,20.618556701030926,8,23.324150596877868,11.114054730258216
DePaul Blue Demons,25.885558583106267,8,18.79194630872483,10.845007385250241
Delaware Blue Hens,24.739583333333336,7,21.428571428571427,11.863959529156613
Delaware State Hornets,24.031890660592257,4,22.928709055876688,10.551232022629671
Denver Pioneers,19.458128078817737,6,11.272727272727273,11.423720273491131
Detroit Mercy Titans,18.006103763987795,3,16.93002257336343,10.88805329967882
Drake Bulldogs,16.666666666666664,9,21.476510067114095,11.909546325911286
Drexel Dragons,27.15894868585732,4,26.87140115163148,10.581101729778586
Duke Blue Devils,13.636363636363635,8,21.49866190900981,10.934944211470667
Duquesne Dukes,17.444717444717444,7,22.68565615462869,11.302344616826577
East Carolina Pirates,13.043478260869565,10,20.99616858237548,10.656300334332073
East Tennessee State Buccaneers,18.740157480314963,7,17.94333683105981,12.508323368023696
East Texas A&M Lions,19.056785370548603,2,23.28767123287671,11.452687981508678
Eastern Illinois Panthers,22.015915119363395,4,22.53787878787879,10.630478995134906
Eastern Kentucky Colonels,19.68019680196802,6,16.09702315325248,11.665200775950375
Eastern Michigan Eagles,22.48062015503876,4,16.240875912408757,9.935228455452643
Eastern Washington Eagles,16.892725030826142,4,31.85053380782918,10.053300646694302
Elon Phoenix,22.286541244573083,6,15.568862275449103,12.321238556401552
Evansville Purple Aces,18.045112781954884,8,19.0978886756238,11.034772241102507
Fairfield Stags,19.11764705882353,5,15.971223021582734,10.766450549905233
Fairleigh Dickinson Knights,23.42606149341142,4,16.53992395437262,12.753604758637147
Florida A&M Rattlers,25.76112412177986,3,21.428571428571427,9.93264677358555
Florida Atlantic Owls,23.563218390804597,6,24.287484510532835,11.616341723853415
Florida Gators,24.50592885375494,8,23.249783923941227,10.801319670374511
Florida Gulf Coast Eagles,18.90459363957597,6,17.450495049504948,11.268429486401836
Florida International Panthers,27.912087912087912,5,23.609226594301223,11.27508727709174
Florida State Seminoles,20.72072072072072,8,20.874587458745875,12.154935708761844
Fordham Rams,23.507462686567166,10,19.27710843373494,11.446724483233009
Fresno State Bulldogs,20.43010752688172,8,26.31578947368421,11.365335039086998
Furman Paladins,16.3265306122449,7,17.386609071274297,12.689673336047873
Gardner-Webb Runnin' Bulldogs,15.578465063001145,6,31.241655540720963,10.679753691830587
George Mason Patriots,20.65491183879093,7,21.575342465753426,10.828348667486148
George Washington Revolutionaries,20.408163265306122,8,25.201072386058982,10.976849217280058
Georgetown Hoyas,19.28571428571429,6,26.48514851485149,10.654625690203137
Georgia Bulldogs,21.172638436482085,7,18.89908256880734,11.064036463591414
Georgia Southern Eagles,24.077868852459016,6,20.591861898890258,11.731252052463766
Georgia State Panthers,19.424460431654676,4,18.19887429643527,11.864461405837448
Georgia Tech Yellow Jackets,20.92457420924574,7,22.32415902140673,11.31743354578089
Gonzaga Bulldogs,21.305841924398624,7,24.652087475149106,10.353896148217279
Grand Canyon Lopes,12.142857142857142,8,19.06158357771261,10.818502583725099
Green Bay Phoenix,23.93669634025717,4,20.318725099601593,11.294502256943662
Hampton Pirates,18.725099601593627,4,23.09090909090909,11.65148922697776
Harvard Crimson,22.673031026252982,4,23.306772908366533,11.202642601135446
Hawai'i Rainbow Warriors,34.05797101449276,11,22.925170068027214,10.40545485525999
High Point Panthers,17.703349282296653,8,16.81338028169014,11.540370566782963
Hofstra Pride,22.859922178988327,3,16.585365853658537,12.447936647409433
Holy Cross Crusaders,16.598639455782312,5,20.395738203957382,10.392770078187887
Houston Christian Huskies,25.0,4,20.233463035019454,11.474438647472976
Houston Cougars,6.61764705882353,9,18.1662382176521,12.366761953233489
Howard Bison,22.179732313575524,8,23.28767123287671,10.05476383379637
IU Indianapolis Jaguars,19.59531416400426,6,26.130099228224918,10.84367352818696
Idaho State Bengals,21.768707482993197,5,21.25748502994012,11.391609736226972
Idaho Vandals,21.528861154446176,5,24.702380952380953,12.631665783616327
Illinois Fighting Illini,16.879795396419436,7,21.535393818544364,11.453480501134598
Illinois State Redbirds,19.2090395480226,7,13.900862068965516,12.088758182981294
Incarnate Word Cardinals,21.473354231974923,5,24.320457796852647,10.798241121938402
Indiana Hoosiers,22.515212981744423,7,20.69327731092437,11.199821429295142
Indiana State Sycamores,21.88905547226387,5,17.251461988304094,11.26104272762694
Iona Gaels,20.685714285714283,6,16.726403823178014,11.789063796760795
Iowa Hawkeyes,18.152866242038215,8,19.97981836528759,10.90859378110213
Iowa State Cyclones,27.77777777777778,8,19.038642789820923,10.884294546134798
Jacksonville Dolphins,20.50163576881134,4,18.761061946902654,12.016807464132334
Jacksonville State Gamecocks,20.622568093385212,7,19.805194805194805,11.384032630966916
James Madison Dukes,22.318840579710145,6,23.328785811732605,11.67755982548596
Kansas City Roos,23.26530612244898,4,25.261324041811843,10.613395676102568
Kansas Jayhawks,20.884955752212388,7,18.172043010752688,10.82391465856663
Kansas State Wildcats,23.42995169082126,8,26.991150442477874,10.988526502483651
Kennesaw State Owls,19.389587073608617,6,25.593952483801296,11.211085836520233
Kent State Golden Flashes,14.130434782608695,8,22.384219554030874,12.271809162157695
Kentucky Wildcats,17.880794701986755,10,21.67630057803468,11.162105379493745
LSU Tigers,21.323529411764707,7,22.58064516129032,10.871869043293726
La Salle Explorers,24.623115577889447,8,22.793404461687683,10.793283891368214
Lafayette Leopards,25.0,6,22.18045112781955,11.196533794136306
Lamar Cardinals,14.835164835164836,5,17.177914110429448,11.188898689436256
Le Moyne Dolphins,22.245989304812834,3,14.545454545454545,11.65649334058509
Lehigh Mountain Hawks,21.664050235478808,5,20.50520059435364,10.896288358924105
Liberty Flames,21.052631578947366,6,18.217054263565892,11.770907816068803
Lindenwood Lions,22.893954410307234,3,23.095238095238095,9.802837669660228
Lipscomb Bisons,26.16487455197133,4,20.634920634920633,11.436078640573117
Little Rock Trojans,21.37870855148342,2,23.32155477031802,11.316768776465263
Long Beach State Beach,13.427109974424553,5,32.72727272727273,10.015120466529272
Long Island University Sharks,23.108384458077712,3,31.234866828087167,9.010320177918977
Longwood Lancers,19.53727506426735,6,20.918367346938776,10.967367590246074
Louisiana Ragin' Cajuns,22.540983606557376,4,16.450216450216452,11.96557652677649
Louisiana Tech Bulldogs,18.59582542694497,6,17.525773195876287,11.05956499638554
Louisville Cardinals,22.302158273381295,7,25.803212851405622,12.307414825605457
Loyola Chicago Ramblers,16.727272727272727,9,15.57743957027753,12.204066958253982
Loyola Maryland Greyhounds,19.702602230483272,5,11.046511627906977,11.664140649860586
Loyola Marymount Lions,22.75,7,26.231263383297645,11.08371129268624
Maine Black Bears,19.979402677651905,4,21.237113402061855,10.578436228510148
Manhattan Jaspers,21.36409227683049,4,24.866785079928952,11.08265882193292
Marist Red Foxes,22.279792746113987,6,19.82210927573062,11.378566868500508
Marquette Golden Eagles,25.806451612903224,9,14.910858995137763,11.46844616398345
Marshall Thundering Herd,15.245009074410163,6,18.62396204033215,11.81577643314547
Maryland Eastern Shore Hawks,18.688524590163937,3,31.29973474801061,9.730182499520131
