play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Abilene Christian Wildcats,15,58.8,65.3,28.6,38.6,12.6,32.6,61.0,68.2,24.4,41.3,14.7,35.9
Air Force Falcons,15,62.4,62.0,24.4,33.2,13.2,29.5,57.5,66.0,28.9,38.1,13.6,35.8
Akron Zips,15,56.7,71.6,25.2,40.5,18.2,40.4,52.2,66.1,28.8,30.3,19.0,39.4
Alabama A&M Bulldogs,15,58.4,64.2,31.6,37.7,9.9,27.2,56.2,68.6,29.7,33.4,14.2,31.9
Alabama Crimson Tide,15,54.2,71.0,22.6,39.6,23.2,34.1,60.2,61.8,26.3,36.1,13.5,34.4
Alabama St. Hornets,15,56.7,65.2,25.9,34.5,17.4,38.3,57.6,69.9,23.8,38.1,18.6,37.7
Alcorn St. Braves,13,48.2,59.5,37.0,32.1,14.8,41.8,61.1,71.0,24.3,44.3,14.6,33.1
American University Eagles,16,56.2,66.7,26.2,38.9,17.6,37.0,61.2,67.8,24.6,33.7,14.2,37.8
App St. Mountaineers,16,57.4,64.7,25.7,37.0,17.0,31.6,56.1,62.9,28.9,33.1,15.0,28.0
Arizona St. Sun Devils,15,60.1,69.4,25.3,33.5,14.6,35.4,57.5,70.4,24.3,38.0,18.1,30.8
Arizona Wildcats,15,67.5,71.4,25.3,39.4,7.3,36.2,53.1,59.8,36.6,34.4,10.3,29.4
Arkansas Baptist Buffaloes,3,49.1,62.6,37.2,36.8,13.7,21.9,67.8,62.3,23.0,29.0,9.3,32.0
Arkansas Razorbacks,15,55.0,73.6,31.9,43.9,13.1,36.3,52.9,65.6,33.4,31.7,13.8,34.1
Arkansas St. Red Wolves,16,59.3,71.4,27.2,33.5,13.5,32.4,58.2,66.2,30.3,37.2,11.5,33.1
Arkansas-Pine Bluff Golden Lions,15,56.2,67.5,24.7,34.2,19.1,34.6,60.8,68.9,21.8,37.4,17.4,34.0
Arlington Baptist Patriots,3,47.7,58.9,40.9,31.2,11.5,33.3,64.1,80.2,19.0,53.7,16.9,37.5
Army Black Knights,16,49.5,66.0,23.7,36.2,26.9,32.8,54.7,70.8,26.2,36.0,19.1,31.8
Auburn Tigers,15,60.4,69.6,24.1,39.5,15.5,34.7,53.9,68.1,27.8,40.7,18.3,34.3
Austin Peay Governors,13,57.4,64.6,25.3,33.0,17.3,38.0,54.2,63.6,28.2,37.4,17.6,28.7
BYU Cougars,14,58.4,72.3,26.1,40.7,15.5,38.6,52.4,59.7,32.8,33.4,14.8,28.0
Ball St. Cardinals,15,57.9,62.5,25.9,32.0,16.2,31.1,54.2,66.2,27.1,36.2,18.7,36.8
Baylor Bears,14,60.9,70.5,25.3,37.8,13.8,40.5,53.2,64.6,34.0,36.3,12.8,31.7
Bellarmine Knights,14,65.9,73.7,21.4,47.1,12.7,50.4,49.7,72.5,31.2,37.9,19.2,38.9
Belmont Bruins,17,59.5,68.5,24.2,41.9,16.3,41.1,48.0,64.7,33.6,31.8,18.5,31.0
Bethesda University Flames,6,42.4,51.7,38.3,25.4,19.3,26.3,66.0,74.1,18.9,40.9,15.1,37.0
Bethune-Cookman Wildcats,14,57.0,63.3,30.1,36.7,12.9,36.7,62.9,68.3,23.1,38.1,14.0,38.7
Binghamton Bearcats,16,66.1,69.6,21.6,34.7,12.3,29.8,58.6,65.2,27.0,41.2,14.4,37.1
Bob Jones Bruins,3,37.1,55.1,44.3,26.9,18.6,30.8,56.6,75.5,27.0,48.6,16.4,37.8
Boise St. Broncos,15,56.8,67.8,29.9,37.6,13.4,37.1,51.5,65.6,35.9,41.2,12.6,31.7
Boston College Eagles,14,54.3,63.8,28.8,35.0,16.9,28.0,57.3,59.5,27.8,35.9,14.9,31.8
Boston University Terriers,16,55.3,64.6,26.3,43.4,18.4,36.1,58.5,67.1,25.1,37.8,16.3,39.3
Bowling Green Falcons,16,67.5,70.0,18.6,39.0,13.9,34.9,57.9,67.9,24.8,34.5,17.4,34.8
Bradley Braves,17,57.4,67.1,29.4,33.9,13.2,39.9,55.4,67.0,31.2,40.1,13.4,31.3
Brown Bears,14,56.1,60.6,26.8,34.8,17.2,37.0,54.7,64.8,28.3,30.6,17.0,34.1
Bryan (TN) Lions,4,47.3,51.2,33.5,28.7,19.2,30.0,55.2,76.6,23.4,35.3,21.4,44.9
Bryant Bulldogs,15,49.6,64.9,32.6,33.4,17.8,27.4,59.4,62.1,25.2,34.0,15.4,31.6
Bucknell Bison,16,54.3,62.4,28.8,31.9,16.8,29.5,58.4,66.5,28.9,41.1,12.6,37.6
Buffalo Bulls,14,60.5,69.9,26.1,39.1,13.4,40.6,55.9,67.5,25.5,35.2,18.6,34.9
Butler Bulldogs,16,62.5,66.0,21.5,42.0,16.0,36.4,57.4,65.5,27.1,35.6,15.5,31.9
Cal Poly Mustangs,16,58.1,67.7,21.4,40.6,20.6,34.2,55.7,66.9,24.8,41.6,19.5,31.3
Cal St. Bakersfield Roadrunners,16,61.2,65.6,27.0,36.1,11.8,28.8,60.5,64.9,25.4,39.0,14.1,34.6
Cal St. Fullerton Titans,16,58.9,67.1,25.0,37.2,16.1,34.1,54.3,70.5,27.7,37.6,18.0,39.6
Cal St. Northridge Matadors,16,62.4,63.5,20.3,38.6,17.3,31.9,53.4,68.0,27.3,40.1,19.3,28.9
California Baptist Lancers,15,66.0,63.3,23.4,40.9,10.7,31.7,60.4,65.8,28.6,39.7,10.9,35.5
California Golden Bears,16,51.2,70.5,31.9,45.5,16.9,37.9,50.1,62.4,32.0,39.8,17.9,30.7
Campbell Fighting Camels,15,67.9,66.1,21.3,33.8,10.9,29.3,65.0,69.3,24.4,33.9,10.6,45.9
Canisius Golden Griffins,15,59.0,60.3,26.9,34.8,14.2,41.5,52.2,68.7,27.2,38.1,20.6,30.1
Carolina University Bruins,3,51.3,52.5,29.4,34.5,19.3,18.4,65.8,74.9,20.0,36.5,14.2,32.4
Central Arkansas Bears,15,51.7,65.6,22.1,32.7,26.3,33.5,48.1,71.5,23.9,32.6,28.0,31.2
Central Connecticut Blue Devils,13,56.5,65.9,25.9,40.8,17.6,38.2,52.7,61.4,26.1,34.4,21.2,36.9
Central Michigan Chippewas,15,57.6,69.7,32.0,37.6,10.4,31.2,57.9,69.8,24.5,37.8,17.5,35.6
Central Penn Knights,3,42.9,60.0,48.1,33.0,9.0,28.6,64.3,72.7,24.0,39.2,11.7,19.4
Chaminade Silverswords,3,57.8,56.8,26.9,38.9,15.3,34.1,66.8,72.6,16.4,44.2,16.8,40.9
Champion Christian Tigers,5,32.0,56.3,34.3,27.4,33.8,27.8,61.9,74.5,16.8,42.2,21.3,38.1
Charleston Cougars,16,59.6,70.2,25.2,30.6,15.1,32.7,52.1,63.1,32.7,34.8,15.1,33.2
Charleston Southern Buccaneers,18,50.0,67.0,26.2,36.9,23.8,37.2,57.2,64.2,32.0,34.7,10.9,25.6
Charlotte 49ers,16,56.6,67.3,29.9,35.4,13.5,37.4,57.2,63.4,30.4,38.4,12.3,38.5
Chattanooga Mocs,15,47.2,70.0,34.6,41.5,18.2,30.5,56.7,70.7,30.5,35.1,12.8,30.4
Chicago St. Cougars,15,53.1,62.1,35.1,39.1,11.9,26.2,51.9,72.2,24.6,41.9,23.5,37.2
Cincinnati Bearcats,15,52.0,63.3,26.8,34.9,21.2,32.9,48.6,61.5,33.1,43.5,18.2,27.2
