GameID,Date,Team,Opponent,Location,TeamScore,OpponentScore,Possessions,eFG%,TO%,OR%,FTR
401823521,2025-11-03,Abilene Christian Wildcats,McMurry,H,92,55,85.3,53.6,28.1,50.0,37.7
401823521,2025-11-03,McMurry,Abilene Christian Wildcats,A,55,92,67.1,34.9,13.4,25.0,23.8
401823522,2025-11-06,Abilene Christian Wildcats,Omaha,H,73,71,69.0,50.0,20.3,37.5,36.8
401823522,2025-11-06,Omaha,Abilene Christian Wildcats,A,71,73,75.7,53.3,30.4,25.9,68.9
401823523,2025-11-11,Abilene Christian Wildcats,Southwestern Adventist,H,104,63,92.7,69.9,33.4,46.2,17.6
401823523,2025-11-11,Southwestern Adventist,Abilene Christian Wildcats,A,63,104,68.5,48.0,21.9,17.2,36.0
401823524,2025-11-14,Abilene Christian Wildcats,Stephen F. Austin,A,66,76,62.0,43.9,9.7,30.3,33.3
401823524,2025-11-14,Stephen F. Austin,Abilene Christian Wildcats,H,76,66,67.3,57.5,11.9,17.1,49.1
401823525,2025-11-18,Abilene Christian Wildcats,Texas State,A,49,63,61.0,35.5,22.9,39.5,34.5
401823525,2025-11-18,Texas State,Abilene Christian Wildcats,H,63,49,61.5,51.1,27.7,41.4,47.8
401830347,2025-11-24,Abilene Christian Wildcats,UTSA*,H,61,50,63.1,42.2,25.4,45.2,29.3
401830347,2025-11-24,UTSA*,Abilene Christian Wildcats,A,50,61,62.8,39.8,23.9,26.5,61.4
401827507,2025-11-25,Abilene Christian Wildcats,William & Mary*,H,58,92,64.1,43.3,15.6,35.0,28.3
401827507,2025-11-25,William & Mary*,Abilene Christian Wildcats,A,92,58,81.2,70.6,25.8,23.8,58.8
401823526,2025-11-28,Abilene Christian Wildcats,Jarvis Christian,H,87,55,87.5,57.0,35.4,50.0,31.2
401823526,2025-11-28,Jarvis Christian,Abilene Christian Wildcats,A,55,87,61.8,42.4,16.2,19.4,58.7
401823527,2025-12-02,Abilene Christian Wildcats,Pepperdine,A,71,63,65.9,51.9,18.2,30.0,44.2
401823527,2025-12-02,Pepperdine,Abilene Christian Wildcats,H,63,71,58.9,48.9,13.6,23.1,55.6
401823528,2025-12-06,Abilene Christian Wildcats,New Mexico State,H,77,69,63.9,58.0,21.9,40.7,46.0
401823528,2025-12-06,New Mexico State,Abilene Christian Wildcats,A,69,77,61.6,43.8,16.2,41.9,72.9
401823529,2025-12-16,Abilene Christian Wildcats,1Arizona,A,62,96,71.9,41.1,20.9,26.2,44.6
401823529,2025-12-16,1Arizona,Abilene Christian Wildcats,H,96,62,82.0,73.3,31.7,36.8,84.4
401819840,2025-12-19,Abilene Christian Wildcats,10BYU,A,67,85,72.1,44.9,25.0,33.3,25.4
401819840,2025-12-19,10BYU,Abilene Christian Wildcats,H,85,67,71.0,66.7,22.5,30.0,95.2
401827009,2025-12-22,Abilene Christian Wildcats,Texas Southern,A,75,68,73.8,53.0,25.7,28.6,54.0
401827009,2025-12-22,Texas Southern,Abilene Christian Wildcats,H,68,75,71.0,55.0,22.5,14.8,38.0
401805157,2026-01-01,Abilene Christian Wildcats,Utah Tech,H,64,79,65.0,51.0,23.1,32.1,38.0
401805157,2026-01-01,Utah Tech,Abilene Christian Wildcats,A,79,64,68.7,68.0,29.1,30.4,24.0
401805160,2026-01-03,Abilene Christian Wildcats,Utah Valley,H,85,68,81.2,57.9,25.9,30.0,20.6
401805160,2026-01-03,Utah Valley,Abilene Christian Wildcats,A,68,85,61.6,59.6,24.4,30.8,34.0
401805163,2026-01-08,Abilene Christian Wildcats,Tarleton State,A,84,80,66.3,62.5,18.1,40.0,50.0
401805163,2026-01-08,Tarleton State,Abilene Christian Wildcats,H,80,84,82.8,47.3,29.0,35.5,51.8
401805166,2026-01-10,Abilene Christian Wildcats,UT Arlington,A,72,82,66.2,56.7,19.6,25.0,71.1
401805166,2026-01-10,UT Arlington,Abilene Christian Wildcats,H,82,72,66.8,55.9,19.5,45.8,56.9
401811965,2025-11-03,Air Force Falcons,Belmont,A,63,79,49.3,59.6,12.2,34.8,19.1
401811965,2025-11-03,Belmont,Air Force Falcons,H,79,63,93.9,52.7,37.3,25.8,45.5
401820550,2025-11-08,Air Force Falcons,Austin Peay,H,54,74,63.4,44.2,23.7,37.5,46.2
401820550,2025-11-08,Austin Peay,Air Force Falcons,A,74,54,86.8,54.8,35.7,27.8,55.8
401812353,2025-11-11,Air Force Falcons,Long Island University,H,72,76,72.9,49.1,23.3,37.8,43.1
401812353,2025-11-11,Long Island University,Air Force Falcons,A,76,72,69.6,50.9,21.5,50.0,62.5
401820551,2025-11-15,Air Force Falcons,Miami (OH),H,61,76,69.5,46.1,20.2,16.7,43.1
401820551,2025-11-15,Miami (OH),Air Force Falcons,A,76,61,67.4,57.0,17.8,30.6,7.8
401820552,2025-11-19,Air Force Falcons,Alabama State,H,66,64,63.9,60.7,26.6,25.0,54.8
401820552,2025-11-19,Alabama State,Air Force Falcons,A,64,66,71.0,44.5,18.3,18.2,34.5
401820553,2025-11-21,Air Force Falcons,SIU Edwardsville,H,77,63,72.7,49.1,20.6,33.3,61.1
401820553,2025-11-21,SIU Edwardsville,Air Force Falcons,A,63,77,64.4,43.5,12.4,23.7,44.4
401820554,2025-11-23,Air Force Falcons,IU Indianapolis,H,98,85,83.1,66.7,22.9,25.9,27.0
401820554,2025-11-23,IU Indianapolis,Air Force Falcons,A,85,98,81.5,51.4,19.6,30.2,25.7
401820555,2025-11-26,Air Force Falcons,Northern Colorado,H,53,71,56.6,44.1,8.8,18.2,27.5
401820555,2025-11-26,Northern Colorado,Air Force Falcons,A,71,53,64.8,63.5,20.1,15.4,15.4
401811108,2025-11-29,Air Force Falcons,South Dakota*,H,63,80,66.9,51.7,17.9,48.6,41.7
401811108,2025-11-29,South Dakota*,Air Force Falcons,A,80,63,74.6,42.0,24.1,13.3,79.5
401820556,2025-12-03,Air Force Falcons,Pacific,H,65,80,58.2,53.5,12.0,23.3,74.4
401820556,2025-12-03,Pacific,Air Force Falcons,A,80,65,67.5,56.4,22.2,44.4,36.4
401820157,2025-12-07,Air Force Falcons,Navy,A,56,61,61.6,45.3,13.0,16.7,26.4
401820157,2025-12-07,Navy,Air Force Falcons,H,61,56,63.1,44.3,14.3,18.2,28.3
401820557,2025-12-17,Air Force Falcons,San Diego State,A,58,81,57.6,50.0,17.4,21.4,34.8
401820557,2025-12-17,San Diego State,Air Force Falcons,H,81,58,73.2,59.0,26.0,39.4,21.3
401820558,2025-12-30,Air Force Falcons,Wyoming,H,56,68,67.5,51.1,26.7,14.3,45.5
401820558,2025-12-30,Wyoming,Air Force Falcons,A,68,56,74.8,45.8,34.7,36.4,56.2
401820559,2026-01-03,Air Force Falcons,UNLV,A,39,67,62.2,30.6,16.1,19.0,24.1
401820559,2026-01-03,UNLV,Air Force Falcons,H,67,39,68.5,46.7,20.4,38.5,33.3
401820560,2026-01-06,Air Force Falcons,Utah State,H,62,99,60.0,47.1,11.7,21.2,37.3
401820560,2026-01-06,Utah State,Air Force Falcons,A,99,62,75.1,67.7,21.3,43.8,26.2
401820561,2026-01-10,Air Force Falcons,New Mexico,H,49,91,55.1,45.6,14.5,18.2,37.8
401820561,2026-01-10,New Mexico,Air Force Falcons,A,91,49,82.6,58.2,26.6,38.9,23.9
401820595,2025-11-03,Akron Zips,James Madison,H,85,71,89.8,49.2,31.2,38.5,46.0
401820595,2025-11-03,James Madison,Akron Zips,A,71,85,59.2,48.4,6.8,31.6,21.3
401820596,2025-11-08,Akron Zips,Princeton,H,104,69,92.0,61.3,23.9,30.6,29.6
401820596,2025-11-08,Princeton,Akron Zips,A,69,104,70.5,43.1,11.3,25.5,30.8
401820597,2025-11-12,Akron Zips,Penn State-Shenango,H,109,51,103.9,56.9,29.8,46.9,4.3
401820597,2025-11-12,Penn State-Shenango,Akron Zips,A,51,109,70.0,35.0,11.4,17.6,2.9
401820598,2025-11-16,Akron Zips,2Purdue,A,79,97,74.1,50.0,14.8,31.6,25.4
401820598,2025-11-16,2Purdue,Akron Zips,H,97,79,74.9,59.0,21.4,57.6,34.3
401820599,2025-11-21,Akron Zips,Iona*,H,96,75,91.9,60.8,28.3,35.5,38.5
401820599,2025-11-21,Iona*,Akron Zips,A,75,96,74.5,50.0,18.8,27.5,32.3
401831205,2025-11-23,Akron Zips,Evansville*,H,97,59,63.9,47.8,21.9,26.9,50.0
401831205,2025-11-23,Evansville*,Akron Zips,A,59,97,89.8,67.5,33.4,40.0,47.4
401831208,2025-11-24,Akron Zips,Yale*,H,94,97,69.3,72.1,17.3,34.8,14.8
401831208,2025-11-24,Yale*,Akron Zips,A,97,94,70.0,71.7,20.0,38.9,39.6
401820600,2025-11-29,Akron Zips,Milwaukee,H,105,81,81.5,75.0,23.3,26.1,30.0
401820600,2025-11-29,Milwaukee,Akron Zips,A,81,105,81.1,46.1,19.7,38.5,22.1
401809080,2025-12-03,Akron Zips,Bucknell,H,97,77,77.9,66.1,18.0,29.0,37.1
401809080,2025-12-03,Bucknell,Akron Zips,A,77,97,62.3,50.7,4.8,34.1,9.9
401820601,2025-12-06,Akron Zips,Tulane,A,88,71,60.1,60.5,6.7,42.4,27.4
401820601,2025-12-06,Tulane,Akron Zips,H,71,88,83.5,44.4,24.0,22.0,35.5
401820602,2025-12-13,Akron Zips,Murray State*,H,100,115,84.9,53.3,14.1,35.7,32.9
401820602,2025-12-13,Murray State*,Akron Zips,A,115,100,75.9,71.0,13.2,44.1,36.2
401813767,2025-12-19,Akron Zips,Eastern Michigan,H,93,72,83.7,57.0,23.9,41.2,19.7
401813767,2025-12-19,Eastern Michigan,Akron Zips,A,72,93,71.3,43.0,15.4,34.8,40.6
401820603,2025-12-29,Akron Zips,Concord,H,115,64,99.1,70.8,28.2,29.6,20.8
401820603,2025-12-29,Concord,Akron Zips,A,64,115,70.8,43.9,18.4,26.7,12.1
401814498,2026-01-03,Akron Zips,Miami (OH),A,73,76,64.8,50.0,12.4,32.4,15.6
401814498,2026-01-03,Miami (OH),Akron Zips,H,76,73,71.2,48.1,21.1,30.6,56.6
401814505,2026-01-06,Akron Zips,Central Michigan,H,82,69,75.3,65.5,31.9,42.3,15.5
401814505,2026-01-06,Central Michigan,Akron Zips,A,69,82,75.8,50.0,27.7,17.9,57.4
401814510,2026-01-09,Akron Zips,Bowling Green,A,77,67,78.5,50.8,25.5,32.4,29.0
401814510,2026-01-09,Bowling Green,Akron Zips,H,67,77,72.7,47.5,22.0,28.2,23.0
401827171,2025-11-03,Alabama A&M Bulldogs,Blue Mountain,H,80,60,70.1,54.0,20.0,38.2,24.2
401827171,2025-11-03,Blue Mountain,Alabama A&M Bulldogs,A,60,80,67.9,32.8,10.3,26.7,41.0
401827172,2025-11-05,Alabama A&M Bulldogs,Indiana,A,51,98,68.0,38.7,13.2,7.7,35.8
401827172,2025-11-05,Indiana,Alabama A&M Bulldogs,H,98,51,75.6,70.7,21.2,27.3,27.6
401820839,2025-11-13,Alabama A&M Bulldogs,Charleston Southern,H,68,64,70.7,42.5,19.8,38.1,17.9
401820839,2025-11-13,Charleston Southern,Alabama A&M Bulldogs,A,64,68,61.0,48.2,18.0,37.8,34.5
401822371,2025-11-16,Alabama A&M Bulldogs,Lindenwood,H,74,65,65.9,53.9,16.7,27.6,49.0
401822371,2025-11-16,Lindenwood,Alabama A&M Bulldogs,A,65,74,64.0,48.1,15.6,29.4,38.9
401827173,2025-11-28,Alabama A&M Bulldogs,Clemson,A,56,92,68.1,40.7,13.2,8.1,31.5
401827173,2025-11-28,Clemson,Alabama A&M Bulldogs,H,92,56,80.2,61.8,24.9,33.3,58.2
401827174,2025-11-30,Alabama A&M Bulldogs,Coastal Carolina,A,60,67,71.5,39.7,16.8,20.5,37.9
401827174,2025-11-30,Coastal Carolina,Alabama A&M Bulldogs,H,67,60,61.1,39.0,6.5,24.3,68.0
401827195,2025-12-03,Alabama A&M Bulldogs,Tennessee State,H,80,53,67.8,58.8,23.6,41.4,52.9
401827195,2025-12-03,Tennessee State,Alabama A&M Bulldogs,A,53,80,62.5,32.3,20.8,47.2,30.8
401824953,2025-12-07,Alabama A&M Bulldogs,Lipscomb,A,58,92,55.0,38.4,3.6,32.5,37.5
401824953,2025-12-07,Lipscomb,Alabama A&M Bulldogs,H,92,58,85.2,67.7,27.0,21.4,21.0
401827196,2025-12-13,Alabama A&M Bulldogs,Arkansas Baptist,H,67,59,65.8,45.3,13.7,27.8,54.7
401827196,2025-12-13,Arkansas Baptist,Alabama A&M Bulldogs,A,59,67,86.5,37.0,30.1,10.8,40.7
401823439,2025-12-15,Alabama A&M Bulldogs,North Alabama,H,68,60,67.7,42.0,14.8,31.7,55.4
401823439,2025-12-15,North Alabama,Alabama A&M Bulldogs,A,60,68,57.1,50.0,5.3,12.1,34.0
401827197,2025-12-17,Alabama A&M Bulldogs,Ole Miss*,H,66,80,70.2,62.0,19.9,25.8,60.0
401827197,2025-12-17,Ole Miss*,Alabama A&M Bulldogs,A,80,66,62.5,52.0,14.4,21.9,39.2
401827198,2025-12-21,Alabama A&M Bulldogs,Chattanooga,H,66,73,63.9,44.5,11.0,23.1,41.8
401827198,2025-12-21,Chattanooga,Alabama A&M Bulldogs,A,73,66,62.6,59.6,12.8,15.6,30.8
401827199,2025-12-30,Alabama A&M Bulldogs,Fisk,H,90,58,75.8,57.4,17.1,34.4,44.3
401827199,2025-12-30,Fisk,Alabama A&M Bulldogs,A,58,90,71.0,34.8,14.1,28.0,28.8
401827136,2026-01-03,Alabama A&M Bulldogs,Arkansas-Pine Bluff,A,83,95,67.3,51.7,20.8,56.2,48.3
401827136,2026-01-03,Arkansas-Pine Bluff,Alabama A&M Bulldogs,H,95,83,64.3,66.1,15.5,53.8,46.4
401827201,2026-01-05,Alabama A&M Bulldogs,Mississippi Valley State,A,71,51,82.2,46.0,35.3,36.7,60.0
401827201,2026-01-05,Mississippi Valley State,Alabama A&M Bulldogs,H,51,71,59.5,38.2,11.8,18.9,35.3
401827202,2026-01-10,Alabama A&M Bulldogs,Alcorn State,H,62,64,68.1,47.3,22.0,30.6,30.4
401827202,2026-01-10,Alcorn State,Alabama A&M Bulldogs,A,64,62,68.2,46.6,19.1,25.7,22.4
401812260,2025-11-03,Alabama Crimson Tide,North Dakota,H,91,62,74.8,60.3,20.0,36.7,46.6
401812260,2025-11-03,North Dakota,Alabama Crimson Tide,A,62,91,76.1,42.7,17.1,16.7,27.4
401812261,2025-11-08,Alabama Crimson Tide,5St. John's,A,103,96,96.5,54.9,19.7,30.4,27.2
401812261,2025-11-08,5St. John's,Alabama Crimson Tide,H,96,103,79.0,54.0,8.9,25.6,63.5
401812262,2025-11-13,Alabama Crimson Tide,2Purdue,H,80,87,72.8,54.5,12.4,17.5,15.2
401812262,2025-11-13,2Purdue,Alabama Crimson Tide,A,87,80,65.9,53.8,12.1,47.5,34.8
401811098,2025-11-19,Alabama Crimson Tide,8Illinois*,H,90,86,75.5,50.0,8.0,33.3,30.1
401811098,2025-11-19,8Illinois*,Alabama Crimson Tide,A,86,90,75.9,55.3,11.9,27.8,34.8
401812263,2025-11-24,Alabama Crimson Tide,12Gonzaga*,H,85,95,73.9,53.0,12.2,31.7,34.3
401812263,2025-11-24,12Gonzaga*,Alabama Crimson Tide,A,95,85,78.3,52.8,17.9,46.5,36.1
401812264,2025-11-25,Alabama Crimson Tide,UNLV*,H,115,76,82.6,66.2,18.2,43.8,53.8
401812264,2025-11-25,UNLV*,Alabama Crimson Tide,A,76,115,77.7,48.6,12.9,22.7,19.7
401831220,2025-11-26,Alabama Crimson Tide,Maryland*,H,105,72,75.5,68.2,15.9,39.3,27.3
401831220,2025-11-26,Maryland*,Alabama Crimson Tide,A,72,105,80.2,42.8,15.0,25.5,14.5
401806376,2025-12-03,Alabama Crimson Tide,Clemson,H,90,84,69.7,56.7,11.5,34.2,51.7
401806376,2025-12-03,Clemson,Alabama Crimson Tide,A,84,90,70.3,43.7,5.7,40.9,39.4
401812265,2025-12-07,Alabama Crimson Tide,UTSA,H,97,55,106.5,48.8,31.9,37.3,24.4
401812265,2025-12-07,UTSA,Alabama Crimson Tide,A,55,97,64.6,39.3,7.7,19.1,26.2
401812266,2025-12-13,Alabama Crimson Tide,1Arizona*,H,75,96,70.5,55.4,12.8,9.1,32.1
401812266,2025-12-13,1Arizona*,Alabama Crimson Tide,A,96,75,93.5,48.8,23.5,43.1,23.8
401812267,2025-12-17,Alabama Crimson Tide,South Florida,H,104,93,85.6,54.3,23.4,48.8,50.7
401812267,2025-12-17,South Florida,Alabama Crimson Tide,A,93,104,85.2,45.8,25.8,50.0,47.2
401812268,2025-12-21,Alabama Crimson Tide,Kennesaw State*,H,92,81,92.9,50.7,23.7,29.5,31.5
401812268,2025-12-21,Kennesaw State*,Alabama Crimson Tide,A,81,92,72.5,48.6,13.8,34.9,26.1
401812269,2025-12-29,Alabama Crimson Tide,Yale,H,102,78,74.6,58.4,14.7,46.7,20.8
401812269,2025-12-29,Yale,Alabama Crimson Tide,A,78,102,69.3,46.8,11.5,35.9,41.3
401808152,2026-01-03,Alabama Crimson Tide,Kentucky,H,89,74,74.6,57.5,18.8,35.9,23.9
401808152,2026-01-03,Kentucky,Alabama Crimson Tide,A,74,89,75.8,45.8,19.8,30.8,49.2
401808155,2026-01-07,Alabama Crimson Tide,11Vanderbilt,A,90,96,75.0,43.6,6.7,37.5,54.3
401808155,2026-01-07,11Vanderbilt,Alabama Crimson Tide,H,96,90,88.8,51.7,15.8,20.5,84.7
401808168,2026-01-10,Alabama Crimson Tide,Texas,H,88,92,78.8,52.3,16.5,30.2,40.9
401808168,2026-01-10,Texas,Alabama Crimson Tide,A,92,88,70.2,53.0,10.0,41.9,48.5
401826706,2025-11-07,Alabama State Hornets,Florida State,A,64,101,75.0,40.8,18.7,28.9,29.2
401826706,2025-11-07,Florida State,Alabama State Hornets,H,101,64,94.7,59.5,32.8,43.6,18.9
401826851,2025-11-11,Alabama State Hornets,UAB,A,77,74,69.5,49.2,10.1,30.0,30.8
401826851,2025-11-11,UAB,Alabama State Hornets,H,74,77,77.5,42.9,18.1,35.7,25.7
401827153,2025-11-14,Alabama State Hornets,Virginia-Lynchburg,H,124,68,122.7,62.8,36.7,54.5,38.4
401827153,2025-11-14,Virginia-Lynchburg,Alabama State Hornets,A,68,124,78.9,42.6,13.9,9.8,37.7
401819863,2025-11-17,Alabama State Hornets,Colorado,A,66,94,68.7,44.0,13.1,28.3,17.9
401819863,2025-11-17,Colorado,Alabama State Hornets,H,94,66,78.1,58.9,23.0,39.4,64.3
401823377,2025-11-21,Alabama State Hornets,IU Indianapolis*,H,101,80,92.4,65.3,29.2,27.6,38.7
401823377,2025-11-21,IU Indianapolis*,Alabama State Hornets,A,80,101,78.8,56.7,21.6,22.5,11.9
401827154,2025-11-23,Alabama State Hornets,SIU Edwardsville*,H,68,83,68.2,51.6,13.2,41.0,49.2
401827154,2025-11-23,SIU Edwardsville*,Alabama State Hornets,A,83,68,63.7,37.1,11.0,39.0,53.4
401827155,2025-11-26,Alabama State Hornets,New Mexico,A,87,93,71.5,63.4,22.4,37.0,35.7
401827155,2025-11-26,New Mexico,Alabama State Hornets,H,93,87,79.0,61.1,21.5,33.3,70.4
401827156,2025-12-07,Alabama State Hornets,UT Martin,A,64,74,63.0,52.0,17.5,25.0,37.3
401827156,2025-12-07,UT Martin,Alabama State Hornets,H,74,64,69.9,50.0,22.9,45.5,36.5
401827157,2025-12-11,Alabama State Hornets,Missouri,A,77,85,63.7,58.5,14.1,32.3,20.3
401827157,2025-12-11,Missouri,Alabama State Hornets,H,85,77,66.6,72.5,22.5,33.3,31.4
401819849,2025-12-17,Alabama State Hornets,Cincinnati,A,51,88,59.7,31.9,3.4,34.7,17.4
401819849,2025-12-17,Cincinnati,Alabama State Hornets,H,88,51,75.5,55.2,15.9,36.1,29.9
401826801,2025-12-22,Alabama State Hornets,Memphis,A,67,88,71.5,42.2,22.4,43.2,34.4
401826801,2025-12-22,Memphis,Alabama State Hornets,H,88,67,79.5,61.1,28.9,45.5,28.6
401827158,2025-12-29,Alabama State Hornets,Mississippi State,A,56,94,73.2,33.0,21.9,22.0,68.0
401827158,2025-12-29,Mississippi State,Alabama State Hornets,H,94,56,71.7,60.9,18.1,48.6,20.3
401827159,2026-01-03,Alabama State Hornets,Mississippi Valley State,A,89,69,70.2,59.8,19.9,39.1,58.8
401827159,2026-01-03,Mississippi Valley State,Alabama State Hornets,H,69,89,68.9,49.0,18.9,22.2,50.0
401827137,2026-01-05,Alabama State Hornets,Arkansas-Pine Bluff,A,79,90,89.3,49.2,28.0,23.7,42.6
401827137,2026-01-05,Arkansas-Pine Bluff,Alabama State Hornets,H,90,79,74.5,54.9,21.5,37.5,80.4
401827161,2026-01-10,Alabama State Hornets,Jackson State,H,64,75,69.0,34.2,17.4,48.1,28.8
401827161,2026-01-10,Jackson State,Alabama State Hornets,A,75,64,80.2,40.5,24.9,33.3,55.2
401826705,2025-11-04,Alcorn State Braves,Florida State,A,76,108,64.8,58.8,15.4,29.0,52.9
401826705,2025-11-04,Florida State,Alcorn State Braves,H,108,76,94.9,65.0,28.5,36.8,35.7
401829685,2025-11-06,Alcorn State Braves,South Alabama,A,70,76,70.2,55.5,24.2,23.3,20.0
401829685,2025-11-06,South Alabama,Alcorn State Braves,H,76,70,77.8,56.6,25.7,28.6,50.9
401827233,2025-11-08,Alcorn State Braves,Minnesota,A,50,95,62.1,36.6,14.5,24.4,26.8
401827233,2025-11-08,Minnesota,Alcorn State Braves,H,95,50,85.6,52.5,31.6,57.6,61.7
401827216,2025-11-11,Alcorn State Braves,Maryland,A,64,84,71.2,52.8,28.1,25.8,20.4
401827216,2025-11-11,Maryland,Alcorn State Braves,H,84,64,80.8,57.1,32.2,45.2,48.2
401829686,2025-11-13,Alcorn State Braves,Howard,A,64,72,67.7,46.6,14.8,21.4,20.7
401829686,2025-11-13,Howard,Alcorn State Braves,H,72,64,59.0,60.2,18.6,41.7,38.8
401829421,2025-11-18,Alcorn State Braves,LSU,A,81,107,72.2,56.7,18.0,35.1,16.4
401829421,2025-11-18,LSU,Alcorn State Braves,H,107,81,75.5,60.3,17.2,55.9,61.9
401826780,2025-11-23,Alcorn State Braves,Oklahoma,A,53,72,53.8,45.3,7.4,20.0,15.1
401826780,2025-11-23,Oklahoma,Alcorn State Braves,H,72,53,80.3,40.2,23.7,36.7,42.4
401828915,2025-11-28,Alcorn State Braves,Indiana State*,H,81,74,71.5,55.6,18.2,38.2,28.6
401828915,2025-11-28,Indiana State*,Alcorn State Braves,A,74,81,86.9,42.2,26.5,28.6,39.1
401826900,2025-11-29,Alcorn State Braves,Louisiana Tech,A,58,83,57.0,42.1,10.5,38.1,36.8
401826900,2025-11-29,Louisiana Tech,Alcorn State Braves,H,83,58,67.3,59.1,19.3,48.5,13.6
401819876,2025-12-03,Alcorn State Braves,10Iowa State,A,68,132,66.3,55.4,19.6,24.1,16.1
401819876,2025-12-03,10Iowa State,Alcorn State Braves,H,132,68,114.4,87.7,42.0,47.6,36.9
401819831,2025-12-19,Alcorn State Braves,Baylor,A,56,113,78.3,33.8,19.2,26.4,9.5
401819831,2025-12-19,Baylor,Alcorn State Braves,H,113,56,85.9,71.5,24.4,47.8,35.4
401828494,2025-12-29,Alcorn State Braves,Ole Miss,A,43,79,67.1,28.1,16.4,17.8,26.3
401828494,2025-12-29,Ole Miss,Alcorn State Braves,H,79,43,67.8,54.5,20.6,44.4,12.1
401828663,2026-01-03,Alcorn State Braves,Jackson State,A,86,89,76.4,58.1,20.9,34.2,38.7
401828663,2026-01-03,Jackson State,Alcorn State Braves,H,89,86,72.9,61.8,17.8,24.1,45.5
401817527,2025-11-03,American University Eagles,Wake Forest,A,74,88,72.5,50.0,20.7,25.7,31.0
401817527,2025-11-03,Wake Forest,American University Eagles,H,88,74,96.4,53.1,33.2,33.3,36.9
401812574,2025-11-09,American University Eagles,Pennsylvania,H,84,78,91.9,54.8,30.5,27.0,36.5
401812574,2025-11-09,Pennsylvania,American University Eagles,A,78,84,72.2,51.0,18.0,22.9,61.5
401817143,2025-11-12,American University Eagles,George Washington,A,67,107,76.8,50.8,20.8,13.2,12.9
401817143,2025-11-12,George Washington,American University Eagles,H,107,67,81.7,68.6,24.5,44.8,55.9
401828671,2025-11-15,American University Eagles,Central Penn,H,115,50,98.6,60.7,28.4,51.2,46.7
401828671,2025-11-15,Central Penn,American University Eagles,A,50,115,69.9,28.2,18.6,22.7,45.5
401827434,2025-11-18,American University Eagles,Rutgers,A,71,80,67.7,44.1,5.9,25.0,20.6
401827434,2025-11-18,Rutgers,American University Eagles,H,80,71,66.2,52.8,12.1,30.0,56.6
401828672,2025-11-24,American University Eagles,Marywood,H,113,53,89.0,70.4,24.7,44.8,26.8
401828672,2025-11-24,Marywood,American University Eagles,A,53,113,62.9,36.8,6.4,24.4,5.9
401829395,2025-11-28,American University Eagles,Maine,H,74,61,77.4,54.7,24.5,19.4,45.3
401829395,2025-11-28,Maine,American University Eagles,A,61,74,55.8,54.8,12.6,24.1,69.0
401822836,2025-11-29,American University Eagles,Siena,H,55,59,76.0,39.0,31.6,23.5,42.0
401822836,2025-11-29,Siena,American University Eagles,A,59,55,63.6,43.2,23.6,35.3,79.5
401826993,2025-11-30,American University Eagles,Longwood,H,92,66,72.2,60.2,15.2,25.0,55.6
401826993,2025-11-30,Longwood,American University Eagles,A,66,92,74.0,32.1,17.6,30.0,79.2
401827515,2025-12-03,American University Eagles,Drexel,H,75,73,73.8,49.1,17.6,25.6,46.6
401827515,2025-12-03,Drexel,American University Eagles,A,73,75,61.1,55.2,8.2,26.5,25.9
401823041,2025-12-06,American University Eagles,Maryland Eastern Shore,H,78,60,69.8,58.1,22.9,35.3,12.9
