Date,GameID,Team,Opponent,Location,Link
2025-11-04,401828553,Evansville Purple Aces,Purdue Boilermakers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401828553
2025-11-04,401817228,Texas Longhorns,Duke Blue Devils,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401817228
2025-11-04,401826746,Nicholls Colonels,Kentucky Wildcats,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826746
2025-11-04,401819898,Lindenwood Lions,Texas Tech Red Raiders,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401819898
2025-11-04,401826052,Penn State-York Nittany Lions,UMBC Retrievers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826052
2025-11-04,401829341,East-West University Phantoms,SIU Edwardsville Cougars,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401829341
2025-11-04,401827525,North Carolina A&T Aggies,South Carolina Gamecocks,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401827525
2025-11-04,401826705,Alcorn State Braves,Florida State Seminoles,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826705
2025-11-04,401824884,Converse University Valkyries,East Tennessee State Buccaneers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401824884
2025-11-04,401824860,Caldwell Cougars,Monmouth Hawks,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401824860
2025-11-04,401823857,St. Joseph's (NY) Bears,Manhattan Jaspers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401823857
2025-11-04,401823724,Merchant Marine Academy Mariners,Sacred Heart Pioneers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401823724
2025-11-04,401822165,NJIT Highlanders,Fordham Rams,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401822165
2025-11-04,401820806,Georgia Southern Eagles,East Carolina Pirates,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401820806
2025-11-04,401813397,Mount St. Mary's Mountaineers,West Virginia Mountaineers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401813397
2025-11-04,401826879,UNC Asheville Bulldogs,Wichita State Shockers,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826879
2025-11-04,401826946,West Coast Baptist Eagles,Utah Valley Wolverines,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826946
2025-11-04,401826803,College Of Biblical Studies Ambassadors,Rice Owls,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826803
2025-11-04,401825185,Arkansas Baptist Buffaloes,Little Rock Trojans,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401825185
2025-11-04,401823321,Missouri Southern State Lions,Missouri State Bears,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401823321
2025-11-04,401822329,Eastern Illinois Panthers,Valparaiso Beacons,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401822329
2025-11-04,401819888,UNC Greensboro Spartans,Kansas State Wildcats,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401819888
2025-11-04,401813286,Oral Roberts Golden Eagles,Oklahoma State Cowboys,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401813286
2025-11-04,401823398,Robert Morris Colonials,Iowa Hawkeyes,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401823398
2025-11-04,401830629,Adams State Grizzlies,New Mexico State Aggies,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401830629
2025-11-04,401830409,San Francisco State Gators,UC Santa Barbara Gauchos,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401830409
2025-11-04,401824110,Occidental Tigers,San Diego Toreros,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401824110
2025-11-04,401819813,Southern Utah Thunderbirds,Arizona State Sun Devils,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401819813
2025-11-04,401826926,Dominican (CA) Penguins,Sacramento State Hornets,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826926
2025-11-04,401826895,Louisiana Tech Bulldogs,Nevada Wolf Pack,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401826895
2025-11-04,401824118,Humboldt State Lumberjacks,Santa Clara Broncos,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401824118
2025-11-04,401823553,Park University Gilbert Buccaneers,Idaho State Bengals,N,https://www.espn.com/mens-college-basketball/matchup?gameId=401823553
