Team,Total_Games,Overall_NetEff,Q1_Games,Q1_NetEff,Q1_NetEff_Shrunk,Q1_Confidence,Q2_Games,Q2_NetEff,Q2_NetEff_Shrunk,Q2_Confidence,Q3_Games,Q3_NetEff,Q3_NetEff_Shrunk,Q3_Confidence,Q4_Games,Q4_NetEff,Q4_NetEff_Shrunk,Q4_Confidence
Tennessee Tech Golden Eagles,3,-2.79,0,,,LOW,0,,,LOW,0,,,LOW,3,-2.79,-2.79,MEDIUM
Eastern Illinois Panthers,4,-5.58,0,,,LOW,0,,,LOW,0,,,LOW,4,-5.58,-5.58,MEDIUM
Towson Tigers,7,0.06,0,,,LOW,1,,,LOW,2,,,LOW,4,-8.95,-4.45,MEDIUM
William & Mary Tribe,5,21.57,0,,,LOW,0,,,LOW,0,,,LOW,5,21.57,21.57,HIGH
SMU Mustangs,10,23.97,1,,,LOW,1,,,LOW,2,,,LOW,6,23.7,23.81,HIGH
Utah Tech Trailblazers,3,15.6,0,,,LOW,0,,,LOW,0,,,LOW,3,15.6,15.6,MEDIUM
Campbell Fighting Camels,5,23.74,0,,,LOW,0,,,LOW,0,,,LOW,5,23.74,23.74,HIGH
Gonzaga Bulldogs,7,24.84,0,,,LOW,2,,,LOW,1,,,LOW,4,35.53,30.19,MEDIUM
Syracuse Orange,10,10.94,1,,,LOW,1,,,LOW,1,,,LOW,7,19.11,16.14,HIGH
Kansas Jayhawks,7,13.08,1,,,LOW,1,,,LOW,1,,,LOW,4,17.68,15.38,MEDIUM
Georgia Southern Eagles,5,17.14,0,,,LOW,0,,,LOW,0,,,LOW,5,17.14,17.14,HIGH
Coastal Carolina Chanticleers,5,-9.36,0,,,LOW,0,,,LOW,1,,,LOW,4,-12.1,-10.73,MEDIUM
Omaha Mavericks,4,14.39,0,,,LOW,0,,,LOW,1,,,LOW,3,18.78,16.27,MEDIUM
Texas Tech Red Raiders,8,23.51,0,,,LOW,1,,,LOW,4,31.94,27.73,MEDIUM,3,11.88,18.53,MEDIUM
Arkansas Razorbacks,9,25.57,2,,,LOW,0,,,LOW,1,,,LOW,6,34.66,31.02,HIGH
Delaware State Hornets,3,-21.36,0,,,LOW,0,,,LOW,0,,,LOW,3,-21.36,-21.36,MEDIUM
Temple Owls,8,15.3,0,,,LOW,0,,,LOW,2,,,LOW,6,18.73,17.36,HIGH
Long Island University Sharks,5,12.48,0,,,LOW,0,,,LOW,1,,,LOW,4,11.4,11.94,MEDIUM
Wyoming Cowboys,8,14.9,0,,,LOW,0,,,LOW,1,,,LOW,7,19.51,17.83,HIGH
South Dakota State Jackrabbits,3,30.3,0,,,LOW,0,,,LOW,0,,,LOW,3,30.3,30.3,MEDIUM
IU Indianapolis Jaguars,3,-13.52,0,,,LOW,0,,,LOW,0,,,LOW,3,-13.52,-13.52,MEDIUM
Northern Kentucky Norse,7,10.8,0,,,LOW,0,,,LOW,1,,,LOW,6,13.28,12.29,HIGH
New Hampshire Wildcats,4,-16.07,0,,,LOW,0,,,LOW,0,,,LOW,4,-16.07,-16.07,MEDIUM
Harvard Crimson,5,1.46,0,,,LOW,0,,,LOW,0,,,LOW,5,1.46,1.46,HIGH
Oregon State Beavers,8,2.43,0,,,LOW,1,,,LOW,5,-0.66,0.71,HIGH,2,,,LOW
Oregon Ducks,7,10.73,0,,,LOW,1,,,LOW,1,,,LOW,5,19.72,15.73,HIGH
