Team,AdjRank,TotalGames,TotalWins,Q1_Record,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Record,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Record,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Record,Q4_Games,Q4_WinPct,Q4_NetEff
Iowa State Cyclones,1.0,8,8,1-0,1,1.0,31.3,1-0,1,1.0,15.3,0-0,0,0.0,0.0,6-0,6,1.0,28.3
Saint Louis Billikens,2.0,7,6,0-0,0,0.0,0.0,1-0,1,1.0,11.2,1-0,1,1.0,13.4,4-1,5,0.8,38.3
Georgia Bulldogs,3.0,9,9,1-0,1,1.0,6.6,0-0,0,0.0,0.0,1-0,1,1.0,5.5,7-0,7,1.0,34.6
Gonzaga Bulldogs,4.0,14,13,0-0,0,0.0,0.0,2-0,2,1.0,17.7,1-0,1,1.0,10.8,10-1,11,0.91,34.8
Michigan Wolverines,5.0,10,9,1-0,1,1.0,6.6,0-0,0,0.0,0.0,2-0,2,1.0,19.5,6-1,7,0.86,29.7
High Point Panthers,6.0,13,11,0-0,0,0.0,0.0,0-1,1,0.0,-22.2,0-0,0,0.0,0.0,11-1,12,0.92,32.7
Arizona Wildcats,7.0,14,14,1-0,1,1.0,16.4,0-0,0,0.0,0.0,2-0,2,1.0,26.7,11-0,11,1.0,29.8
Houston Cougars,8.0,11,10,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,10-1,11,0.91,26.2
Vanderbilt Commodores,9.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,36.6,1-0,1,1.0,6.5
Louisville Cardinals,10.0,7,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-6.2,5-1,6,0.83,38.5
Iowa Hawkeyes,11.0,12,9,0-1,1,0.0,-4.4,1-0,1,1.0,21.5,0-0,0,0.0,0.0,8-2,10,0.8,22.4
Virginia Cavaliers,12.0,2,1,0-1,1,0.0,-11.1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,36.5
Hawai'i Rainbow Warriors,13.0,12,10,0-0,0,0.0,0.0,0-1,1,0.0,-16.9,1-1,2,0.5,0.0,9-0,9,1.0,34.3
BYU Cougars,14.0,14,13,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-0,4,1.0,27.4,9-1,10,0.9,23.8
Miami Hurricanes,15.0,7,7,0-0,0,0.0,0.0,1-0,1,1.0,16.0,1-0,1,1.0,5.4,5-0,5,1.0,32.3
Utah State Aggies,16.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,11.9,2-0,2,1.0,36.1
