Team,Games,Record,WinPct,RawOffEff,RawDefEff,RawNetEff,AvgTempo,OffEffStd,DefEffStd,AvgPointsFor,AvgPointsAgainst,AvgMargin,RawRank
Iowa State Cyclones,16,16-0,1.0,108.93202581182395,78.17908529928717,30.75294051253678,80.50951086956522,12.308079595257414,7.65806154136802,88.0,62.9375,25.0625,1.0
Michigan Wolverines,15,14-1,0.9333333333333333,110.73983390869927,80.25275868389332,30.48707522480595,85.20289855072464,11.961909018573884,11.56528712272333,94.6,68.46666666666667,26.133333333333333,2.0
Gonzaga Bulldogs,18,17-1,0.9444444444444444,107.93055362147197,79.69907600815768,28.23147761331429,84.81884057971014,14.388012247761722,15.647266807809713,91.44444444444444,67.88888888888889,23.555555555555557,3.0
Arizona Wildcats,16,16-0,1.0,108.0956526014694,80.61268073186395,27.48297186960545,84.17798913043478,7.0727134651501995,7.803100280606238,91.125,68.0,23.125,4.0
Georgia Bulldogs,16,14-2,0.875,112.29391530501825,86.19219580609287,26.101719498925377,86.01902173913044,16.01063991304284,16.369888527499334,96.4375,74.875,21.5625,5.0
Saint Louis Billikens,15,14-1,0.9333333333333333,106.87322038610176,82.01566850278714,24.857551883314635,85.18115942028986,10.74703016080174,9.59815787087802,91.4,69.73333333333333,21.666666666666668,6.0
Duke Blue Devils,16,15-1,0.9375,105.04178516039937,80.6387703951562,24.403014765243167,82.49999999999999,11.932919537881016,11.826564474283032,86.75,66.5625,20.1875,7.0
Iowa Hawkeyes,15,12-3,0.8,104.33113189968957,80.24664587808822,24.084486021601332,76.1304347826087,12.94339531840633,12.701567422373104,79.8,60.8,19.0,8.0
Vanderbilt Commodores,16,16-0,1.0,107.00452684242669,82.92602871312886,24.07849812929782,86.80706521739131,8.682202777344095,9.959375109642272,93.0,72.0625,20.9375,9.0
Houston Cougars,16,15-1,0.9375,104.482572629784,80.44798292577156,24.03458970401244,74.13722826086956,10.758083481935891,11.387141431657934,77.25,60.0,17.25,10.0
Illinois Fighting Illini,15,12-3,0.8,104.92741057536992,81.48740423944491,23.440006335925027,82.55072463768117,12.967091937871764,12.349622638466496,86.73333333333333,67.33333333333333,19.4,11.0
BYU Cougars,16,15-1,0.9375,105.50250359076713,82.17805196478841,23.32445162597872,83.49184782608695,10.133645155216337,9.848519876932794,88.25,68.6875,19.5625,12.0
Virginia Cavaliers,16,14-2,0.875,104.53789973067649,81.6009891582124,22.936910572464097,81.4945652173913,8.850477762329724,10.364279761809653,85.0625,66.8125,18.25,13.0
Louisville Cardinals,16,12-4,0.75,105.4550430364798,82.71162363018686,22.743419406292944,83.79755434782608,15.143054826906207,15.239883720789429,88.3125,69.625,18.6875,14.0
Miami Hurricanes,16,14-2,0.875,104.84896745737343,82.55381032040434,22.295157136969095,83.86548913043478,12.172673423723493,11.71587599267395,88.1875,69.1875,19.0,15.0
Purdue Boilermakers,16,15-1,0.9375,104.11845521275333,81.93710034280222,22.18135486995112,82.96195652173913,10.307159760661682,10.469227622006875,86.4375,68.0625,18.375,16.0
UConn Huskies,17,16-1,0.9411764705882353,104.10793786906214,82.49336932048033,21.614568548581815,76.54092071611252,9.099078935454832,11.322415094409134,79.88235294117646,63.294117647058826,16.58823529411765,17.0
Utah State Aggies,14,13-1,0.9285714285714286,103.04526091471186,82.04997718052623,20.995283734185616,82.77173913043478,9.545030617769742,9.525915827894162,85.35714285714286,67.92857142857143,17.428571428571427,18.0
High Point Panthers,16,13-3,0.8125,102.77476183944864,82.4335714938847,20.341190345563938,85.85597826086956,11.675339863368857,12.201844311962098,87.875,71.1875,16.6875,19.0
Indiana Hoosiers,16,12-4,0.75,103.35054389582358,83.46890054862087,19.881643347202704,81.50135869565217,12.65346461873353,10.745134893844117,84.5,68.0,16.5,20.0
Nebraska Cornhuskers,16,16-0,1.0,103.15174178841895,83.88992487824774,19.261816910171206,78.74320652173913,8.151781212377047,10.466041486214694,81.1875,66.4375,14.75,21.0
Michigan State Spartans,16,14-2,0.875,102.83204738606358,84.32073039171422,18.511316994349365,76.37907608695652,9.779975797536727,9.714842577376743,78.875,64.5,14.375,22.0
Tennessee Volunteers,16,11-5,0.6875,101.16449997316458,82.83550002683542,18.328999946329148,81.31793478260869,13.140070485370263,13.140070485370263,82.375,67.25,15.125,23.0
North Carolina Tar Heels,16,14-2,0.875,101.79007881008604,83.58492118991396,18.205157620172088,80.16983695652173,10.470189430512752,12.311986996947292,81.6875,67.0625,14.625,24.0
NC State Wolfpack,17,12-5,0.7058823529411765,103.92835157354637,85.75792293625759,18.170428637288772,82.96035805626597,14.437458486710547,12.340118417087904,86.52941176470588,71.23529411764706,15.294117647058824,25.0
Texas A&M Aggies,16,13-3,0.8125,106.55098762460959,88.42123459761262,18.12975302699696,87.63586956521739,17.181984283479547,10.304743304476405,93.6875,77.4375,16.25,26.0
West Virginia Mountaineers,16,11-5,0.6875,101.35720541424422,83.43446125242247,17.922744161821754,74.13722826086956,12.559000325421902,13.183380542013305,74.8125,62.3125,12.5,27.0
Hawai'i Rainbow Warriors,13,10-3,0.7692307692307693,101.28868483857715,83.42926387937158,17.859420959205565,76.40468227424748,11.583284664292238,11.206873273023453,77.46153846153847,63.76923076923077,13.692307692307692,28.0
Kentucky Wildcats,16,10-6,0.625,102.12767682351259,84.7612120653763,17.36646475813629,81.77309782608697,15.717490274512965,16.638817156778416,83.625,69.4375,14.1875,29.0
Florida Gators,16,11-5,0.6875,101.341490635009,84.25573158721325,17.085759047795747,84.06929347826087,9.530786104101079,10.57651408573241,85.1875,70.9375,14.25,30.0
Saint Mary's Gaels,17,15-2,0.8823529411764706,100.67350922251215,83.92779796703034,16.74571125548181,78.60613810741688,8.727261996639848,9.114134874982195,78.88235294117646,66.29411764705883,12.588235294117647,31.0
Clemson Tigers,17,14-3,0.8235294117647058,101.18503680858853,85.02411351820885,16.16092329037971,76.8925831202046,10.704374095177924,12.268910396102147,77.82352941176471,65.6470588235294,12.176470588235293,32.0
St. John's Red Storm,16,11-5,0.6875,102.33158901022512,86.779522100886,15.552066909339118,83.53940217391303,11.22343175283853,12.561122229912051,85.625,72.6875,12.9375,33.0
TCU Horned Frogs,16,11-5,0.6875,101.82557602956352,86.31331285932536,15.512263170238153,78.81793478260869,11.819030366225654,12.684538930857075,80.375,68.375,12.0,34.0
Seton Hall Pirates,16,14-2,0.875,99.62475819056951,84.37524180943049,15.249516381139014,74.18478260869566,6.969377657111616,6.969377657111615,73.8125,62.6875,11.125,35.0
LSU Tigers,16,12-4,0.75,102.04030292594483,86.89025262961073,15.1500502963341,83.5258152173913,12.524340168211646,11.09230348311329,85.625,72.5,13.125,36.0
George Mason Patriots,16,15-1,0.9375,100.73162110038692,85.71282334405754,15.018797756329374,77.74456521739131,6.952079670428442,7.475733943405586,78.1875,67.0625,11.125,37.0
George Washington Revolutionaries,16,11-5,0.6875,103.7541901038325,88.75969878505639,14.994491318776115,83.5733695652174,10.608090368179068,12.716441786973709,86.9375,74.5,12.4375,38.0
Ohio State Buckeyes,15,11-4,0.7333333333333333,102.34587907641921,87.43189870135858,14.91398037506062,81.44927536231883,12.875405754229503,12.107914584572494,83.73333333333333,71.33333333333333,12.4,39.0
New Mexico Lobos,15,12-3,0.8,100.04712254077054,85.27139597774797,14.775726563022566,79.21014492753623,9.810772078557948,10.070283438174627,79.26666666666667,67.66666666666667,11.6,40.0
Miami (OH) RedHawks,14,14-0,1.0,101.26690298472444,86.79658907876765,14.470313905956795,84.96894409937889,7.6227788623866735,5.737666670183438,86.14285714285714,73.85714285714286,12.285714285714286,41.0
Tulsa Golden Hurricane,14,11-3,0.7857142857142857,101.90837608229927,87.44083026690707,14.467545815392173,83.6413043478261,12.716229644830726,11.044796190566553,85.21428571428571,73.5,11.714285714285714,42.0
Arkansas Razorbacks,16,12-4,0.75,103.16583697290505,88.7508296937616,14.415007279143463,86.48097826086956,13.484955814562037,10.946877908393633,89.375,76.875,12.5,43.0
Belmont Bruins,17,14-3,0.8235294117647058,99.49404991873261,85.13340106165954,14.360648857073082,83.16496163682864,7.203784853777364,7.323167071109877,82.6470588235294,70.94117647058823,11.705882352941176,44.0
Akron Zips,14,10-4,0.7142857142857143,104.19066466143599,89.87282740205606,14.317837259379903,86.92546583850933,8.752769163405716,15.14433590198156,90.71428571428571,78.28571428571429,12.428571428571429,45.0
Illinois State Redbirds,16,11-5,0.6875,99.00319745420376,85.09402476801846,13.909172686185297,78.28125,12.086412088852159,12.09364710054949,77.25,66.875,10.375,46.0
Stephen F. Austin Lumberjacks,14,11-3,0.7857142857142857,99.09417717125412,85.41375933668243,13.680417834571681,76.14906832298138,6.72070214116302,6.363599395256846,75.57142857142857,65.0,10.571428571428571,47.0
UCF Knights,14,12-2,0.8571428571428571,101.9819897628993,88.4148356339261,13.567154128973243,85.3027950310559,8.498776692247853,11.749744463701944,86.92857142857143,75.78571428571429,11.142857142857142,48.0
SMU Mustangs,16,12-4,0.75,101.93766727606501,88.40955494615721,13.52811232990781,87.21467391304347,11.902011818238945,10.544695492911359,89.125,77.0625,12.0625,49.0
VCU Rams,17,11-6,0.6470588235294118,100.72146159354327,87.2262508247574,13.495210768785872,84.64194373401536,11.162225485834409,9.26277253658162,85.29411764705883,74.0,11.294117647058824,50.0
Santa Clara Broncos,18,13-5,0.7222222222222222,100.15264053036884,86.76093971654474,13.391700813824125,83.23671497584542,10.59450228631498,10.375912528480228,83.27777777777777,72.5,10.777777777777779,51.0
Oklahoma Sooners,16,11-5,0.6875,99.9805077424808,86.8806033686303,13.099904373850492,84.09646739130434,12.21876532181864,14.154113246938412,84.4375,72.875,11.5625,52.0
Kansas Jayhawks,16,11-5,0.6875,99.84083428833938,86.82583237832728,13.01500191001209,77.83967391304347,11.936083470825192,12.916987388367001,77.5,68.125,9.375,53.0
Syracuse Orange,16,11-5,0.6875,98.7692087722519,85.81412456108143,12.955084211170476,76.03940217391305,12.676413180929783,12.775818103865994,74.75,65.6875,9.0625,54.0
Villanova Wildcats,16,13-3,0.8125,98.48508419145645,85.68158247521023,12.803501716246222,79.16440217391305,8.9468835481913,8.85281232286293,78.0,67.8125,10.1875,55.0
UCLA Bruins,16,11-5,0.6875,99.44448842638882,86.69440046250007,12.750087963888742,79.35461956521739,11.90057336703106,10.8811754346355,78.875,69.0625,9.8125,56.0
Murray State Racers,18,15-3,0.8333333333333334,102.5042082776932,89.75505098156606,12.749157296127155,85.63405797101449,10.42150781089207,12.543557436271133,87.94444444444444,77.05555555555556,10.88888888888889,57.0
UNC Wilmington Seahawks,16,14-2,0.875,98.35342039312465,85.64657960687535,12.706840786249302,76.49456521739131,6.497527168276878,6.497527168276879,75.1875,65.5625,9.625,58.0
Texas Longhorns,15,9-6,0.6,101.61163540133906,88.95132756162388,12.660307839715168,84.03623188405798,12.768368356334744,15.54792074774599,85.66666666666667,74.86666666666666,10.8,59.0
East Tennessee State Buccaneers,15,10-5,0.6666666666666666,98.28957964719669,85.71042035280333,12.579159294393326,78.69565217391303,10.979676743137137,10.979676743137135,77.26666666666667,67.53333333333333,9.733333333333333,60.0
South Carolina Gamecocks,16,10-6,0.625,98.35314230499267,85.88296880611844,12.470173498874223,80.89673913043478,9.132254355413753,9.347631361656187,79.5,69.5625,9.9375,61.0
Alabama Crimson Tide,16,11-5,0.6875,105.1106039525917,92.6532849362972,12.457319016294493,89.02173913043478,11.817064807738516,12.508430958471683,93.5,82.6875,10.8125,62.0
Wyoming Cowboys,15,10-5,0.6666666666666666,99.7306931772137,87.57301052649001,12.157682650723673,82.91304347826086,11.821877453871494,11.321232806043925,83.0,72.53333333333333,10.466666666666667,63.0
Texas Tech Red Raiders,16,12-4,0.75,100.34092395206903,88.24240938126432,12.098514570804701,82.67663043478261,12.033784588545457,11.942651784568127,83.0625,73.1875,9.875,64.0
Marist Red Foxes,14,9-5,0.6428571428571429,97.95861210566538,86.04138789433463,11.91722421133077,72.59316770186335,11.123126108049414,11.123126108049417,70.92857142857143,62.642857142857146,8.285714285714286,65.0
California Golden Bears,16,12-4,0.75,98.79921454763277,87.24245211903391,11.556762428598866,79.94565217391305,10.977567813312154,12.366661423164533,79.0,69.9375,9.0625,66.0
Northwestern Wildcats,15,8-7,0.5333333333333333,98.04882877479125,86.78080085483838,11.268027919952873,81.22463768115942,11.981375661519314,11.151817715235222,79.4,70.8,8.6,67.0
Missouri Tigers,16,12-4,0.75,98.28458894410801,87.11818883366976,11.16640011043825,82.66983695652173,13.845158291915983,12.91383063334778,81.6875,71.6875,10.0,68.0
Richmond Spiders,15,11-4,0.7333333333333333,99.23268666442328,88.24879481705817,10.98389184736513,84.02173913043478,7.617857237147594,9.788317990963705,83.4,74.33333333333333,9.066666666666666,69.0
Baylor Bears,14,9-5,0.6428571428571429,100.93113365384549,89.9577552350434,10.973378418802096,84.16925465838509,15.228989641317307,12.559375803135017,85.78571428571429,75.28571428571429,10.5,70.0
Dayton Flyers,16,12-4,0.75,97.69374755785519,86.84791910881148,10.845828449043708,79.7961956521739,9.151724604918725,9.144246810024997,77.9375,69.375,8.5625,71.0
Washington Huskies,15,9-6,0.6,98.77333315174552,88.13037055195818,10.642962599787344,82.71014492753623,11.465858769594305,11.305861596333012,81.73333333333333,73.06666666666666,8.666666666666666,72.0
Grand Canyon Lopes,15,10-5,0.6666666666666666,97.53698598311954,87.11486586873232,10.422120114387186,77.36231884057972,9.681913554596985,10.07007438729392,75.53333333333333,67.4,8.133333333333333,73.0
Cincinnati Bearcats,15,8-7,0.5333333333333333,97.18659127925518,86.81340872074483,10.37318255851033,75.54347826086956,11.053775652308293,11.053775652308287,73.66666666666667,65.33333333333333,8.333333333333334,74.0
Virginia Tech Hokies,17,13-4,0.7647058823529411,99.27379389613822,88.94842832608401,10.325365570054206,82.74936061381074,10.44646554860514,10.791314381855965,82.29411764705883,73.76470588235294,8.529411764705882,75.0
Oklahoma State Cowboys,16,13-3,0.8125,100.89654089832004,90.57568132390219,10.32085957441786,88.15896739130436,8.836893968091559,10.221714904788957,89.0,79.9375,9.0625,76.0
Bowling Green Falcons,14,8-6,0.5714285714285714,100.35633971619225,90.11985075999823,10.236488956194039,79.98447204968944,10.548372243711725,14.161668104471461,80.0,73.0,7.0,77.0
Utah Valley Wolverines,15,11-4,0.7333333333333333,98.00276287921814,87.8639037874485,10.138859091769598,80.93478260869566,10.102349055898141,11.819038538952425,79.06666666666666,71.53333333333333,7.533333333333333,78.0
McNeese Cowboys,14,11-3,0.7857142857142857,98.32859013512486,88.22696542043072,10.101624714694108,79.02950310559005,10.20971438750338,13.583738549700838,77.78571428571429,69.92857142857143,7.857142857142857,79.0
Butler Bulldogs,16,10-6,0.625,100.39075196064648,90.45647026157575,9.934281699070738,83.33559782608695,14.88938351056943,14.64124372112575,84.0625,75.4375,8.625,80.0
Northern Iowa Panthers,16,11-5,0.6875,96.94962917524222,87.05037082475778,9.89925835048444,70.04076086956522,7.7851777937962225,7.78517779379622,67.75,61.125,6.625,81.0
Minnesota Golden Gophers,16,10-6,0.625,96.94754828282254,87.05245171717748,9.895096565645048,75.5774456521739,13.423769608220056,13.423769608220052,73.0,66.0625,6.9375,82.0
Wichita State Shockers,15,8-7,0.5333333333333333,98.46532036834806,88.73467963165196,9.7306407366961,77.85507246376814,9.652451491889668,11.334551243352387,77.13333333333334,69.0,8.133333333333333,83.0
Auburn Tigers,16,10-6,0.625,100.39643343468641,90.77023323198026,9.626200202706158,87.01766304347827,14.498185320809569,15.383117282768614,87.5,79.0625,8.4375,84.0
Wisconsin Badgers,16,11-5,0.6875,98.36984746892026,88.89404141996863,9.475806048951632,84.3070652173913,13.272495538408366,12.524084190163727,83.0625,75.0,8.0625,85.0
South Florida Bulls,15,9-6,0.6,104.23941997467425,94.88650595125168,9.352914023422564,85.78985507246377,11.678045319187264,16.800496546458252,89.73333333333333,81.73333333333333,8.0,86.0
Colorado Buffaloes,16,12-4,0.75,99.84203842755196,90.57462823911472,9.26741018843725,85.48233695652173,7.476566070491329,8.736900457908215,85.5,77.5625,7.9375,87.0
Navy Midshipmen,15,10-5,0.6666666666666666,96.46956412162031,87.53043587837969,8.939128243240619,75.14492753623189,12.965279375858104,12.965279375858112,72.13333333333334,66.13333333333334,6.0,88.0
UAB Blazers,15,9-6,0.6,98.7922966919794,90.18548108579837,8.606815606181014,82.20289855072464,13.000791808229186,13.269801255905795,81.33333333333333,74.4,6.933333333333334,89.0
Yale Bulldogs,13,10-3,0.7692307692307693,98.33258828376053,89.87253992136769,8.460048362392815,82.76755852842808,9.518408038065795,12.09208423709884,81.46153846153847,74.61538461538461,6.846153846153846,90.0
