Team,Q1_Games,Q1_NetEff,Q2_Games,Q2_NetEff,Q3_Games,Q3_NetEff,Q4_Games,Q4_NetEff,AdjNetEff
Kentucky Christian Knights,1,-23.15,0,0.0,3,-40.22,0,0.0,-35.96
Morehead State Eagles,2,-16.04,2,-14.19,1,-30.5,6,2.66,-6.82
Tennessee Tech Golden Eagles,2,-21.94,0,0.0,4,6.04,3,-5.83,-4.13
Eastern Illinois Panthers,3,-26.5,0,0.0,3,-17.45,2,-17.29,-20.81
Towson Tigers,2,2.51,3,-11.14,2,-11.43,3,-1.71,-5.64
William & Mary Tribe,4,9.25,1,-31.59,1,-9.1,4,13.47,5.02
Texas A&M-Corpus Christi Islanders,2,-23.86,1,-5.79,3,-10.39,3,-1.03,-9.75
SMU Mustangs,3,6.78,1,-5.78,1,7.42,0,0.0,4.39
Southern Utah Thunderbirds,2,-28.83,0,0.0,6,-9.16,3,-9.08,-12.72
Utah Tech Trailblazers,1,-10.32,3,3.29,3,-6.77,3,14.42,2.25
Campbell Fighting Camels,1,-21.67,6,-8.2,1,-38.37,2,-0.99,-11.12
Gonzaga Bulldogs,2,-3.67,2,33.67,2,20.84,3,36.76,23.55
Syracuse Orange,1,-16.98,0,0.0,2,0.1,2,13.21,1.93
Kansas Jayhawks,6,6.96,0,0.0,2,2.91,0,0.0,5.95
Georgia Southern Eagles,0,0.0,0,0.0,3,-1.23,7,7.88,5.15
Coastal Carolina Chanticleers,2,-11.84,0,0.0,4,-13.96,5,2.61,-6.04
Omaha Mavericks,3,0.61,1,-25.88,4,-1.2,2,14.4,-0.0
Texas Tech Red Raiders,5,10.46,1,-11.62,1,5.17,0,0.0,6.55
Arkansas Razorbacks,1,-5.94,2,17.51,2,31.21,1,14.49,17.66
Delaware State Hornets,2,-32.96,0,0.0,3,-15.35,5,-26.39,-24.39
Temple Owls,1,-6.82,2,9.9,1,18.94,3,17.98,12.26
Long Island University Sharks,2,-16.17,1,-3.21,4,2.96,4,16.4,3.81
Georgia Bulldogs,0,0.0,2,3.07,1,41.3,2,6.01,11.89
West Coast Baptist Eagles,1,-71.54,1,-71.48,0,0.0,1,-34.59,-59.2
Utah Valley Wolverines,1,21.09,1,-11.46,4,11.31,3,6.04,8.11
Campbellsville Tigers,0,0.0,0,0.0,1,-22.74,0,0.0,-22.74
Western Kentucky Hilltoppers,1,-9.79,2,5.46,3,-16.9,1,21.55,-4.0
Wyoming Cowboys,1,-2.13,2,-5.75,1,33.81,1,-13.99,1.24
South Dakota State Jackrabbits,1,-8.82,2,-17.04,4,-6.8,4,8.78,-3.18
IU Indianapolis Jaguars,1,18.49,2,-12.6,3,9.9,4,5.0,4.3
Northern Kentucky Norse,2,-1.44,1,-26.29,2,2.38,1,31.24,1.14
New Hampshire Wildcats,2,-21.16,3,-33.45,2,-1.67,2,4.23,-15.28
Harvard Crimson,0,0.0,4,5.3,2,2.15,3,-5.08,1.14
Bluefield State Big Blues,0,0.0,0,0.0,0,0.0,1,-8.84,-8.84
North Carolina Central Eagles,4,-17.47,2,-16.07,3,-15.11,0,0.0,-16.37
Oregon State Beavers,0,0.0,0,0.0,4,0.42,3,-2.82,-0.97
Oregon Ducks,3,-1.0,0,0.0,2,-2.14,2,6.18,0.73
Central Connecticut Blue Devils,0,0.0,0,0.0,5,-5.81,3,7.15,-0.95
Quinnipiac Bobcats,1,19.8,2,-14.24,1,36.85,4,7.66,7.35
Fairfield Stags,0,0.0,2,8.68,2,4.59,5,1.03,3.52
NJIT Highlanders,2,-23.02,1,-32.27,3,-5.65,5,-21.15,-18.27
Yale Bulldogs,2,34.33,1,28.3,4,26.85,2,14.89,26.02
Brown Bears,0,0.0,2,10.0,0,0.0,4,-15.88,-7.25
High Point Panthers,0,0.0,1,43.52,4,19.23,1,24.94,24.23
UIC Flames,3,6.07,0,0.0,2,2.88,4,1.5,3.33
Belmont Abbey Crusaders,1,-28.1,0,0.0,0,0.0,0,0.0,-28.1
Elon Phoenix,1,6.94,3,16.08,3,17.17,0,0.0,15.24
McNeese Cowboys,3,0.15,2,-0.8,0,0.0,3,12.8,4.66
Santa Clara Broncos,1,-12.05,1,-12.88,3,20.36,4,21.17,13.42
Tarleton State Texans,3,-4.77,0,0.0,0,0.0,4,9.89,3.61
Portland Pilots,1,-22.17,4,-6.61,1,-18.69,0,0.0,-11.22
Stanford Cardinal,2,11.72,1,10.1,1,3.27,1,49.05,17.17
George Mason Patriots,0,0.0,1,-13.3,3,22.91,1,35.5,18.18
La Salle Explorers,4,-19.24,2,-7.75,2,-9.77,2,17.31,-7.74
Justice College Lions,0,0.0,1,-27.66,1,-52.74,1,-40.62,-40.34
Northern Arizona Lumberjacks,1,-45.51,3,3.09,3,-15.82,1,-1.53,-10.65
Kent State Golden Flashes,1,-31.6,1,-10.23,2,-10.21,1,40.45,-4.36
Massachusetts Minutemen,0,0.0,0,0.0,3,5.35,4,8.81,7.33
Colorado State Rams,1,-19.01,2,36.58,2,3.19,1,29.66,15.03
South Florida Bulls,4,6.91,2,14.67,0,0.0,2,3.78,8.07
Ball State Cardinals,1,2.74,1,-23.82,1,-16.08,5,-17.35,-15.49
Indiana State Sycamores,2,-10.08,1,8.39,3,6.59,3,-9.52,-2.28
VMI Keydets,4,-16.36,2,-23.46,1,20.8,2,7.59,-8.49
Southern Indiana Screaming Eagles,0,0.0,2,-11.09,1,-21.09,5,-7.26,-9.95
Queens University Royals,5,-4.44,2,7.28,1,1.64,1,21.97,1.77
Winthrop Eagles,3,-0.67,2,2.32,2,5.16,3,21.26,7.67
Florida Gators,5,5.01,2,10.65,1,2.73,0,0.0,6.13
New Mexico Highlands Cowboys,0,0.0,1,-49.24,1,-12.49,1,-44.56,-35.43
New Mexico State Aggies,1,-6.43,1,3.78,3,-4.61,2,1.52,-1.92
Montana State Bobcats,2,3.25,1,-9.13,0,0.0,7,7.36,4.89
Eastern Washington Eagles,4,20.61,1,1.56,3,-7.92,3,-17.06,0.82
Northwestern Wildcats,1,14.57,4,-0.65,1,35.0,0,0.0,7.83
Wisconsin Badgers,1,-8.77,3,-0.85,1,-29.65,0,0.0,-8.2
Jackson State Tigers,5,-26.24,3,-31.64,0,0.0,4,-17.8,-24.78
Louisiana Tech Bulldogs,0,0.0,1,10.05,4,-21.17,1,-37.81,-18.74
Misericordia Cougars,1,-21.55,0,0.0,0,0.0,1,-15.86,-18.7
Binghamton Bearcats,0,0.0,1,-7.5,4,-14.83,4,-7.69,-10.84
Southern Wesleyan Warriors,0,0.0,1,-16.87,1,-26.3,1,-5.99,-16.39
Kennesaw State Owls,2,-10.18,0,0.0,2,2.52,4,1.49,-1.17
Youngstown State Penguins,0,0.0,1,0.52,7,5.03,1,19.08,6.09
Greensboro College Pride,1,-17.32,0,0.0,0,0.0,0,0.0,-17.32
UT Martin Skyhawks,0,0.0,0,0.0,5,4.57,4,11.93,7.84
St. Thomas-Minnesota Tommies,1,-5.18,2,6.37,5,11.66,0,0.0,8.24
Southeast Missouri State Redhawks,3,0.64,0,0.0,1,9.85,5,13.64,8.88
South Carolina Upstate Spartans,1,-7.75,2,-13.08,1,-14.29,5,4.49,-2.86
Nebraska Cornhuskers,3,29.92,1,22.99,1,8.37,0,0.0,24.22
Western Michigan Broncos,3,-21.46,0,0.0,3,3.79,2,3.08,-5.86
Stanton Elks,1,-17.42,0,0.0,0,0.0,1,12.07,-2.67
UC San Diego Tritons,0,0.0,1,52.86,3,9.27,5,17.93,18.92
Central Arkansas Bears,5,-14.6,1,-28.56,0,0.0,2,-12.79,-15.89
Auburn Tigers,4,-2.9,1,34.21,3,20.98,0,0.0,10.69
Wright State Raiders,0,0.0,3,-6.44,3,17.73,2,27.03,10.99
Butler Bulldogs,3,1.94,2,4.32,1,6.29,0,0.0,3.46
Washington Adventist Shock,0,0.0,0,0.0,1,-2.98,1,-6.73,-4.86
Norfolk State Spartans,2,-16.59,1,-1.73,2,3.26,7,-9.45,-7.88
Murray State Racers,4,17.08,0,0.0,1,0.57,4,12.84,13.36
Cal State Fullerton Titans,4,15.23,4,-6.58,1,12.87,0,0.0,5.27
Hawai'i Rainbow Warriors,1,7.94,0,0.0,1,-34.29,1,36.03,3.23
Coppin State Eagles,2,-34.6,2,-41.68,5,-12.17,7,-12.72,-18.9
Maryland Terrapins,4,-10.92,0,0.0,1,-7.42,2,17.92,-2.18
DeSales Bulldogs,0,0.0,1,-13.81,0,0.0,0,0.0,-13.81
Davidson Wildcats,1,-20.17,0,0.0,2,-9.2,3,7.07,-2.89
