Team_Std,TotalGames,TotalWins,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Games,Q4_WinPct,Q4_NetEff,Q1_Wins,Q1_Losses,Q2_Wins,Q2_Losses,Q3_Wins,Q3_Losses,Q4_Wins,Q4_Losses,Team,WinRate_Score,NetEff_Score,Quadrant_Score,Paper_Tiger_Score,Paper_Tiger_Flag,Quality_WinPct,Cupcake_WinPct,Kentucky_Score,Kentucky_Flag,DataThrough,Season,Team_KP,Seed,ConfShort,Coach,Wins,Losses,AdjEM,RankAdjEM,Pythag,RankPythag,AdjOE,RankAdjOE,OE,RankOE,AdjDE,RankAdjDE,DE,RankDE,Tempo,RankTempo,AdjTempo,RankAdjTempo,Luck,RankLuck,SOS,RankSOS,SOSO,RankSOSO,SOSD,RankSOSD,NCSOS,RankNCSOS,Event,APL_Off,RankAPL_Off,APL_Def,RankAPL_Def,ConfAPL_Off,RankConfAPL_Off,ConfAPL_Def,RankConfAPL_Def,KP_Rank,TQPR,TQPR_Rank
Vanderbilt,16,16,4,1.0,10.1,1,1.0,2.685714285714286,4,1.0,10.671428571428573,7,1.0,15.728571428571428,4.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,Vanderbilt Commodores,1.0,10.437788018433181,87.42511520737327,0.0,False,1.0,1.0,0.0,False,"Monday, January 12",2026.0,Vanderbilt,0.0,SEC,Mark Byington,16.0,0.0,30.5434,5.0,0.9609,5.0,125.693,5.0,125.843,2.0,95.15,11.0,97.0983,30.0,73.6894,23.0,71.6376,38.0,0.0575,74.0,5.464,47.0,112.321,35.0,106.857,70.0,1.6957,138.0,,15.59,31.0,16.94,118.0,15.91,3.0,16.88,7.0,5.0,80.57273232258065,1
Michigan,15,14,2,1.0,20.2,0,0.0,0.0,4,1.0,37.06666666666666,9,0.8888888888888888,23.5,2.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,Michigan Wolverines,0.972972972972973,27.5869918699187,67.48524719841794,41.104294478527606,False,1.0,0.9230769230769231,-3.8461538461538436,False,"Monday, January 12",2026.0,Michigan,0.0,B10,Dusty May,14.0,1.0,35.9871,1.0,0.98,1.0,125.373,7.0,124.17,8.0,89.3861,1.0,90.1383,3.0,75.6901,8.0,74.279,7.0,0.0043,186.0,10.269,4.0,114.888,5.0,104.619,13.0,11.2184,16.0,,14.47,4.0,17.54,236.0,14.1,1.0,18.58,17.0,1.0,72.61846051944629,2
Nebraska,16,16,3,1.0,2.983333333333333,1,1.0,0.5166666666666667,2,1.0,1.7833333333333332,10,1.0,9.633333333333333,3.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,Nebraska Cornhuskers,1.0,3.8887096774193544,75.55548387096775,20.245398773006134,False,1.0,1.0,0.0,False,"Monday, January 12",2026.0,Nebraska,0.0,B10,Fred Hoiberg,16.0,0.0,24.0512,17.0,0.9281,15.0,120.595,31.0,116.458,60.0,96.5434,15.0,95.3234,18.0,69.707,156.0,68.0068,177.0,0.1036,22.0,4.9614,56.0,111.588,57.0,106.627,61.0,-4.8638,302.0,,16.64,102.0,17.98,303.0,18.08,10.0,18.49,15.0,17.0,72.31352335483871,3
UConn,17,16,3,0.6666666666666666,2.75,3,1.0,2.8000000000000003,5,1.0,12.933333333333332,6,1.0,23.916666666666668,2.0,1.0,3.0,0.0,5.0,0.0,6.0,0.0,UConn Huskies,0.8666666666666667,8.654018912529551,65.52043109442359,22.947993103171736,False,0.8333333333333334,1.0,8.333333333333332,False,"Monday, January 12",2026.0,Connecticut,0.0,BE,Dan Hurley,16.0,1.0,29.4318,9.0,0.9605,6.0,121.492,23.0,116.075,64.0,92.0599,5.0,92.0858,8.0,68.0199,243.0,65.7261,295.0,0.0647,63.0,8.0813,13.0,112.187,39.0,104.106,3.0,7.4606,36.0,,18.44,296.0,16.93,112.0,18.52,10.0,15.98,1.0,9.0,71.32112794187178,4
Arizona,16,16,1,1.0,5.466666666666666,0,0.0,0.0,3,1.0,16.400000000000002,12,1.0,23.766666666666666,1.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,Arizona Wildcats,1.0,16.117514124293784,60.69700564971751,68.64349011588276,True,1.0,1.0,0.0,False,"Monday, January 12",2026.0,Arizona,0.0,B12,Tommy Lloyd,16.0,0.0,35.2069,2.0,0.9775,2.0,125.869,4.0,122.938,15.0,90.662,4.0,91.8352,6.0,73.8883,21.0,72.0508,26.0,0.0186,152.0,5.4564,48.0,112.66,27.0,107.203,85.0,2.9921,110.0,,15.73,41.0,16.71,65.0,15.87,6.0,15.47,3.0,2.0,71.23799997740113,5
Virginia,16,14,4,0.75,9.6,2,0.5,-0.21666666666666667,2,1.0,4.516666666666667,8,1.0,29.099999999999998,3.0,1.0,1.0,1.0,2.0,0.0,8.0,0.0,Virginia Cavaliers,0.7678571428571429,10.208888888888888,70.13712698412698,15.47375596455351,False,0.6666666666666666,1.0,16.666666666666668,False,"Monday, January 12",2026.0,Virginia,0.0,ACC,Ryan Odom,14.0,2.0,24.6913,15.0,0.9299,14.0,122.623,18.0,124.489,6.0,97.9314,22.0,96.6641,25.0,67.2858,275.0,66.3683,262.0,-0.0231,236.0,1.1167,134.0,109.479,145.0,108.362,147.0,-3.8292,282.0,,16.95,132.0,18.52,352.0,18.35,14.0,17.4,8.0,15.0,68.98590544444444,6
Duke,16,15,1,1.0,4.333333333333333,0,0.0,0.0,2,1.0,2.2666666666666666,13,0.9230769230769231,29.333333333333332,1.0,0.0,0.0,0.0,2.0,0.0,12.0,1.0,Duke Blue Devils,0.9629629629629629,13.48888888888889,51.97888888888889,71.02931152010906,True,1.0,0.9333333333333333,0.0,False,"Monday, January 12",2026.0,Duke,0.0,ACC,Jon Scheyer,15.0,1.0,29.6442,8.0,0.9583,9.0,124.284,11.0,121.951,20.0,94.6399,10.0,93.9795,11.0,71.0148,98.0,68.185,168.0,0.0888,33.0,7.7259,16.0,113.043,22.0,105.317,21.0,5.0113,64.0,,15.56,28.0,18.14,323.0,16.69,5.0,16.61,2.0,8.0,66.6525411111111,7
Baylor,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Baylor,1.0,66.4,71.56,100.0,True,0.0,1.0,0.0,False,"Monday, January 12",2026.0,Baylor,0.0,B12,Scott Drew,10.0,5.0,16.9461,42.0,0.8487,43.0,121.691,21.0,119.426,36.0,104.744,96.0,105.978,146.0,71.3384,80.0,69.0459,128.0,-0.0256,238.0,5.7457,41.0,110.425,99.0,104.68,14.0,-0.5785,196.0,,16.79,111.0,16.88,97.0,17.99,12.0,18.32,14.0,42.0,66.480235,8
Houston,16,15,1,1.0,2.18,2,1.0,6.88,2,1.0,4.659999999999999,11,0.9090909090909091,5.24,1.0,0.0,2.0,0.0,2.0,0.0,10.0,1.0,Houston Cougars,0.9714285714285714,5.029066666666667,51.47591238095238,48.80708929788685,False,1.0,0.9230769230769231,-3.8461538461538436,False,"Monday, January 12",2026.0,Houston,0.0,B12,Kelvin Sampson,15.0,1.0,29.0492,10.0,0.9588,8.0,121.329,27.0,117.673,52.0,92.2801,6.0,91.3128,5.0,65.124,341.0,63.4011,355.0,0.0713,50.0,4.9108,58.0,111.596,56.0,106.686,63.0,0.6071,164.0,,18.18,275.0,18.21,328.0,18.35,14.0,18.85,16.0,10.0,66.10724933333333,9
Purdue,16,15,1,0.0,-5.171428571428572,2,1.0,9.828571428571427,5,1.0,18.185714285714287,8,1.0,15.142857142857142,0.0,1.0,2.0,0.0,5.0,0.0,8.0,0.0,Purdue Boilermakers,0.8048780487804879,12.006060606060604,44.771936437546195,54.73755964553511,False,0.6666666666666666,1.0,16.666666666666668,False,"Monday, January 12",2026.0,Purdue,0.0,B10,Matt Painter,15.0,1.0,31.9054,4.0,0.9627,4.0,129.554,1.0,126.786,1.0,97.6481,20.0,99.9709,54.0,68.0922,237.0,65.9106,283.0,0.0689,51.0,8.1057,12.0,113.951,9.0,105.845,31.0,7.4507,37.0,,18.02,260.0,17.56,248.0,17.97,6.0,17.8,7.0,4.0,64.71062975314116,10
